angle_1,velocity_1 angle_2,velocity_2
-1.31554,1.06993,1.6578,0
-1.31371,1.07574,1.65597,0.0697778
-1.31176,1.03794,1.65394,0
-1.30993,1.03794,1.65211,-0.0785
-1.30807,1.08446,1.65036,-0.0232593
-1.30604,1.08446,1.64835,0
-1.30409,1.11644,1.64641,0
-1.302,1.1397,1.64431,0
-1.29996,1.22111,1.64228,-0.0377963
-1.29787,1.17169,1.64021,0
-1.2958,1.16587,1.63815,0.0377963
-1.29365,1.18041,1.63594,0
-1.29156,1.20367,1.63385,-0.0610556
-1.28961,1.19494,1.63196,0
-1.28752,1.15715,1.62992,0
-1.28536,1.19494,1.62774,0.0232593
-1.28327,1.22111,1.62559,0
-1.28068,1.23565,1.62303,-0.0552407
-1.27847,1.22111,1.62088,0
-1.27632,1.25309,1.61873,0
-1.27414,1.27635,1.61652,0.0377963
-1.27173,1.32287,1.61408,0
-1.26929,1.30833,1.61163,0
-1.26696,1.30833,1.60937,0
-1.26466,1.33159,1.60707,0
-1.26237,1.30833,1.60474,0.0610556
-1.25993,1.29961,1.60227,0
-1.25766,1.27635,1.6,0
-1.25492,1.29089,1.59727,0
-1.25263,1.35485,1.59497,0
-1.25024,1.38683,1.59259,0
-1.24783,1.41881,1.59018,0
-1.24518,1.40428,1.58753,0
-1.24271,1.43626,1.58506,0
-1.24021,1.44498,1.58256,0
-1.23768,1.43626,1.58006,0
-1.23515,1.40428,1.57753,0.0465185
-1.23271,1.3723,1.57506,0.0465185
-1.2303,1.39556,1.57262,-0.0232593
-1.22768,1.40428,1.57003,0
-1.22524,1.42754,1.56759,0
-1.22274,1.48278,1.56509,0
-1.2203,1.5322,1.56264,0
-1.218,1.57291,1.56035,0
-1.21547,1.5322,1.55782,0
-1.21314,1.56419,1.55549,0
-1.21082,1.5322,1.55317,0
-1.20835,1.47696,1.55072,0
-1.20614,1.44498,1.54854,0.0552407
-1.20361,1.42754,1.54593,0
-1.20146,1.44498,1.54378,0
-1.19928,1.47696,1.54159,-0.0377963
-1.19666,1.5322,1.53901,0
-1.19436,1.57291,1.53671,0.0465185
-1.19198,1.6107,1.5343,0
-1.18957,1.64269,1.53188,-0.0610556
-1.18709,1.62815,1.52944,0
-1.18425,1.62815,1.52659,0.0552407
-1.1814,1.60489,1.52374,0
-1.1786,1.55546,1.52098,-0.0552407
-1.17587,1.54674,1.51831,0
-1.17317,1.51476,1.51557,0.0610556
-1.17049,1.5322,1.51281,0
-1.16776,1.63687,1.51008,-0.0232593
-1.16468,1.68339,1.50705,-0.0377963
-1.16171,1.73281,1.50412,0.0465185
-1.15866,1.73863,1.50101,0
-1.15561,1.67467,1.49793,0
-1.15264,1.65141,1.49499,-0.0610556
-1.14973,1.63687,1.49214,0
-1.14689,1.62815,1.48929,0.0610556
-1.14404,1.66885,1.48635,0
-1.1409,1.73863,1.48321,-0.0610556
-1.13787,1.75607,1.48022,0
-1.13476,1.82004,1.47711,0
-1.13159,1.82585,1.47394,0
-1.12836,1.82585,1.47071,-0.0232593
-1.1252,1.78806,1.4676,0
-1.12208,1.74735,1.46449,0.0465185
-1.1188,1.77061,1.46115,0.0377963
-1.11572,1.77061,1.45804,0
-1.11264,1.78806,1.45498,-0.0290741
-1.10926,1.82585,1.45167,0
-1.10609,1.85783,1.44844,0
-1.10261,1.85783,1.44492,0
-1.09935,1.83457,1.4417,-0.0465185
-1.09612,1.82585,1.43853,0
-1.09269,1.8433,1.43504,0.0465185
-1.08943,1.8433,1.43172,0
-1.08597,1.8433,1.42823,-0.0785
-1.08278,1.87528,1.42515,0
-1.07946,1.87528,1.42187,0.0232593
-1.07621,1.86656,1.41852,0.0465185
-1.07292,1.91598,1.41521,0
-1.06958,1.85783,1.4119,-0.0610556
-1.06629,1.88981,1.40867,0
-1.06298,1.94796,1.40538,0.0377963
-1.0596,1.93924,1.40189,0
-1.0562,1.9625,1.39849,-0.0785
-1.05257,1.88981,1.39492,-0.0290741
-1.04925,1.87528,1.39166,0.0232593
-1.04617,1.91598,1.38852,0.0290741
-1.04306,1.93052,1.38538,0
-1.03992,1.97122,1.38224,-0.0232593
-1.0364,2.01193,1.37881,0
-1.03291,1.98576,1.37526,0.0785
-1.0294,2.01193,1.37169,0
-1.02617,1.93052,1.36846,-0.0377963
-1.02254,1.94796,1.36491,0
-1.01934,1.98576,1.36171,0
-1.01614,1.95378,1.35849,0
-1.01291,2.04391,1.35526,0
-1.0096,2.07589,1.35194,0
-1.00649,2.07589,1.34883,0
-1.00308,2.09915,1.34543,0
-0.999712,2.09043,1.34206,0
-0.996369,1.97994,1.33872,0
-0.992851,2.01193,1.3352,0.0232593
-0.989827,2.04391,1.33214,0
-0.986745,2.09043,1.32903,0
-0.983605,2.10787,1.32592,-0.0610556
-0.979884,2.12241,1.32223,0
-0.976162,2.16311,1.31851,0
-0.972382,2.0817,1.31473,0
-0.968748,2.06717,1.3111,0
-0.965114,2.04391,1.30746,0.0290741
-0.961247,2.10787,1.30354,0
-0.957322,2.13985,1.29961,-0.0465185
-0.953542,2.17183,1.29595,0
-0.946012,2.12241,1.28836,0.0377963
-0.942058,2.0817,1.28432,0
-0.938191,2.04391,1.28045,-0.0232593
-0.934325,2.13113,1.27664,-0.00581481
-0.930312,2.16311,1.27272,0
-0.926242,2.21835,1.26862,0.0785
-0.922317,2.21835,1.26461,0
-0.918741,2.14567,1.26103,0
-0.915252,2.09915,1.25757,-0.00581481
-0.91185,2.0817,1.2542,0
-0.908478,2.04972,1.25082,0.0377963
-0.905134,2.20381,1.24742,0
-0.901558,2.2358,1.24385,-0.014537
-0.897953,2.21835,1.24027,0
-0.894348,2.19509,1.23667,0
-0.890772,2.13113,1.23309,0
-0.887312,2.14567,1.22963,0
-0.88359,2.17765,1.22591,0
-0.878967,2.20381,1.22126,0.0610556
-0.874228,2.29976,1.21649,-0.0785
-0.869925,2.29976,1.21233,-0.0465185
-0.866495,2.25033,1.20896,0
-0.862831,2.25033,1.20529,0.0377963
-0.859488,2.18637,1.20189,0
-0.855098,2.24161,1.1975,0
-0.849748,2.27359,1.19215,0.0785
-0.845474,2.32302,1.18779,0.0232593
-0.84059,2.26778,1.18285,-0.093037
-0.836054,2.2358,1.17843,-0.0552407
-0.831838,2.25033,1.1743,0
-0.827332,2.26778,1.1698,0.0465185
-0.823669,2.30557,1.1661,0
-0.819627,2.33174,1.16206,0
-0.815848,2.33756,1.15828,0.0232593
-0.811748,2.32302,1.15412,0.014537
-0.807707,2.25033,1.15005,-0.0610556
-0.8032,2.29976,1.14563,-0.0290741
-0.799479,2.27359,1.14194,0.0232593
-0.7941,2.26778,1.13651,0
-0.790059,2.29976,1.13244,0
-0.785698,2.33174,1.12807,0
-0.781104,2.28231,1.12348,0
-0.777005,2.29976,1.11938,0
-0.773254,2.32302,1.11563,0
-0.769184,2.33174,1.11156,0
-0.765084,2.32302,1.10746,0
-0.761014,2.36081,1.10339,0
-0.757176,2.33756,1.09955,0
-0.753397,2.34628,1.0958,0
-0.749559,2.36954,1.09196,0
-0.746012,2.355,1.08836,0
-0.742145,2.355,1.08449,-0.00581481
-0.738278,2.30557,1.08068,0
-0.734498,2.29976,1.0769,0.014537
-0.730748,2.355,1.07309,0
-0.726939,2.37826,1.06929,0
-0.723072,2.41024,1.06542,-0.014537
-0.719147,2.45094,1.06155,0
-0.715193,2.41024,1.05757,0
-0.711268,2.37826,1.05364,0
