angle_1,angle_1_t,angle_2,angle_2_t
-0.46007,-0.424918,1.79875,1.78448
-0.4604,-0.425092,1.7989,1.78465
-0.46073,-0.425267,1.79906,1.7848
-0.46107,-0.425441,1.79921,1.78497
-0.4614,-0.425616,1.79937,1.78515
-0.46174,-0.42579,1.79952,1.78529
-0.46207,-0.425994,1.79968,1.7855
-0.4624,-0.426197,1.79983,1.7857
-0.46274,-0.426372,1.79999,1.78587
-0.46307,-0.426575,1.80014,1.78605
-0.46341,-0.426779,1.80029,1.78625
-0.46374,-0.426953,1.80045,1.78637
-0.46407,-0.427186,1.8006,1.7866
-0.46441,-0.427389,1.80075,1.78678
-0.46474,-0.427622,1.80091,1.78701
-0.46508,-0.427884,1.80106,1.78724
-0.46541,-0.428145,1.80121,1.78747
-0.46574,-0.428378,1.80137,1.78771
-0.46608,-0.42861,1.80152,1.78791
-0.46641,-0.428843,1.80167,1.78811
-0.46674,-0.429076,1.80182,1.78835
-0.46708,-0.429308,1.80198,1.78855
-0.46741,-0.429512,1.80213,1.78872
-0.46775,-0.429744,1.80228,1.78893
-0.46808,-0.429977,1.80243,1.78913
-0.46841,-0.430239,1.80258,1.78933
-0.46875,-0.4305,1.80274,1.78957
-0.46908,-0.430762,1.80289,1.78983
-0.46942,-0.431024,1.80304,1.79006
-0.46975,-0.431285,1.80319,1.79027
-0.47008,-0.431663,1.80334,1.79061
-0.47042,-0.432012,1.80349,1.7909
-0.47075,-0.432332,1.80364,1.79117
-0.47108,-0.432797,1.80379,1.79157
-0.47142,-0.433117,1.80395,1.79184
-0.47175,-0.433408,1.8041,1.79207
-0.47209,-0.433698,1.80425,1.7923
-0.47242,-0.434018,1.8044,1.79253
-0.47275,-0.434309,1.80455,1.79277
-0.47309,-0.434629,1.8047,1.793
-0.47342,-0.434978,1.80485,1.79326
-0.47376,-0.435268,1.805,1.79343
-0.47409,-0.435501,1.80515,1.79358
-0.47442,-0.435763,1.8053,1.79372
-0.47476,-0.436053,1.80545,1.79393
-0.47509,-0.436519,1.80559,1.79422
-0.47542,-0.436838,1.80574,1.79442
-0.47576,-0.437245,1.80589,1.79466
-0.47609,-0.437594,1.80604,1.79489
-0.47643,-0.437943,1.80619,1.79506
-0.47676,-0.438234,1.80634,1.79524
-0.47709,-0.438554,1.80649,1.79544
-0.47743,-0.438903,1.80664,1.79561
-0.47776,-0.439281,1.80678,1.79588
-0.47809,-0.439659,1.80693,1.79611
-0.47843,-0.440037,1.80708,1.79637
-0.47876,-0.440356,1.80723,1.79652
-0.4791,-0.440734,1.80737,1.79675
-0.47943,-0.441054,1.80752,1.79695
-0.47976,-0.441345,1.80767,1.7971
-0.4801,-0.441694,1.80782,1.7973
-0.48043,-0.442072,1.80796,1.79756
-0.48077,-0.442421,1.80811,1.79777
-0.4811,-0.442769,1.80826,1.79797
-0.48143,-0.443177,1.8084,1.79823
-0.48177,-0.443438,1.80855,1.79832
-0.4821,-0.443758,1.8087,1.79852
-0.48243,-0.444049,1.80884,1.79864
-0.48277,-0.444485,1.80899,1.79893
-0.4831,-0.444863,1.80914,1.79913
-0.48344,-0.445299,1.80928,1.79945
-0.48377,-0.445648,1.80943,1.79966
-0.4841,-0.445939,1.80957,1.7998
-0.48444,-0.446229,1.80972,1.79998
-0.48477,-0.44652,1.80986,1.80015
-0.4851,-0.446927,1.81001,1.80041
-0.48544,-0.447305,1.81015,1.80067
-0.48577,-0.447741,1.8103,1.80096
-0.4861,-0.448119,1.81044,1.80123
-0.48644,-0.44841,1.81059,1.8014
-0.48677,-0.448642,1.81073,1.80152
-0.48711,-0.448904,1.81088,1.80169
-0.48744,-0.449166,1.81102,1.80184
-0.48777,-0.449486,1.81117,1.80204
-0.48811,-0.449805,1.81131,1.80227
-0.48844,-0.450154,1.81146,1.80251
-0.48877,-0.450445,1.8116,1.80271
-0.48911,-0.450678,1.81174,1.80285
-0.48944,-0.45091,1.81189,1.803
-0.48978,-0.451114,1.81203,1.80309
-0.49011,-0.451317,1.81217,1.8032
-0.49044,-0.451579,1.81232,1.80335
-0.49078,-0.451812,1.81246,1.80349
-0.49111,-0.45216,1.8126,1.80373
-0.49144,-0.452451,1.81274,1.8039
-0.49178,-0.452742,1.81289,1.8041
-0.49211,-0.452974,1.81303,1.80425
-0.49244,-0.453207,1.81317,1.80437
-0.49278,-0.453411,1.81331,1.80451
-0.49311,-0.453614,1.81346,1.8046
-0.49345,-0.453847,1.8136,1.80477
-0.49378,-0.454079,1.81374,1.80492
-0.49411,-0.45437,1.81388,1.80512
-0.49445,-0.45469,1.81402,1.80535
-0.49478,-0.454922,1.81416,1.80553
-0.49511,-0.455155,1.81431,1.80567
-0.49545,-0.455388,1.81445,1.80582
-0.49578,-0.455591,1.81459,1.80594
-0.49611,-0.455853,1.81473,1.80614
-0.49645,-0.456056,1.81487,1.80628
-0.49678,-0.456347,1.81501,1.80649
-0.49712,-0.456667,1.81515,1.80672
-0.49745,-0.456987,1.81529,1.80698
-0.49778,-0.457365,1.81543,1.80724
-0.49812,-0.457684,1.81557,1.80748
-0.49845,-0.458004,1.81571,1.80771
-0.49878,-0.458295,1.81585,1.80791
-0.49912,-0.458586,1.81599,1.80812
-0.49945,-0.458935,1.81613,1.80838
-0.49978,-0.459254,1.81627,1.80858
-0.50012,-0.459545,1.81641,1.80881
-0.50045,-0.459865,1.81655,1.80902
-0.50078,-0.460214,1.81669,1.80922
-0.50112,-0.460592,1.81683,1.80948
-0.50145,-0.460912,1.81697,1.80969
-0.50179,-0.461232,1.8171,1.80989
-0.50212,-0.461551,1.81724,1.81006
-0.50245,-0.4619,1.81738,1.81027
-0.50279,-0.462249,1.81752,1.81047
-0.50312,-0.462598,1.81766,1.81068
-0.50345,-0.462976,1.8178,1.81088
-0.50379,-0.463267,1.81793,1.81102
-0.50412,-0.463645,1.81807,1.8112
-0.50445,-0.464081,1.81821,1.81137
-0.50479,-0.464517,1.81835,1.81155
-0.50512,-0.465011,1.81848,1.81175
-0.50545,-0.465418,1.81862,1.81195
-0.50579,-0.465854,1.81876,1.81216
-0.50612,-0.466174,1.81889,1.81227
-0.50645,-0.466523,1.81903,1.81239
-0.50679,-0.466814,1.81917,1.81245
-0.50712,-0.467134,1.8193,1.81254
-0.50745,-0.467453,1.81944,1.81259
-0.50779,-0.467831,1.81958,1.81271
-0.50812,-0.468238,1.81971,1.81283
-0.50845,-0.468616,1.81985,1.81291
-0.50879,-0.468994,1.81998,1.81294
-0.50912,-0.469401,1.82012,1.81297
-0.50945,-0.46975,1.82026,1.81297
-0.50979,-0.47007,1.82039,1.81291
-0.51012,-0.47039,1.82053,1.81286
-0.51046,-0.470739,1.82066,1.81277
-0.51079,-0.471088,1.8208,1.81268
-0.51112,-0.471407,1.82093,1.81256
-0.51146,-0.471756,1.82107,1.81248
-0.51179,-0.472076,1.8212,1.81233
-0.51212,-0.472396,1.82134,1.81219
-0.51246,-0.472745,1.82147,1.8121
-0.51279,-0.473094,1.8216,1.81201
-0.51312,-0.473414,1.82174,1.81187
-0.51346,-0.473762,1.82187,1.81181
-0.51379,-0.474082,1.82201,1.81169
-0.51412,-0.474344,1.82214,1.81158
-0.51446,-0.474635,1.82227,1.81152
-0.51479,-0.474925,1.82241,1.81146
-0.51512,-0.475216,1.82254,1.8114
-0.51546,-0.475507,1.82267,1.81134
-0.51579,-0.475856,1.82281,1.81137
-0.51612,-0.476205,1.82294,1.81137
-0.51646,-0.476524,1.82307,1.81131
-0.51679,-0.476902,1.82321,1.81131
-0.51712,-0.47728,1.82334,1.81126
-0.51746,-0.477658,1.82347,1.8112
-0.51779,-0.478036,1.8236,1.81117
-0.51812,-0.478414,1.82373,1.81114
-0.51845,-0.478821,1.82387,1.81111
-0.51879,-0.479228,1.824,1.81108
-0.51912,-0.479606,1.82413,1.81108
-0.51945,-0.479984,1.82426,1.81108
-0.51979,-0.48042,1.82439,1.81114
-0.52012,-0.480798,1.82452,1.81117
-0.52045,-0.481205,1.82466,1.81123
-0.52079,-0.481583,1.82479,1.81131
-0.52112,-0.481932,1.82492,1.81134
-0.52145,-0.482223,1.82505,1.81137
-0.52179,-0.482601,1.82518,1.81146
-0.52212,-0.482979,1.82531,1.81155
-0.52245,-0.483357,1.82544,1.81172
-0.52279,-0.483764,1.82557,1.8119
-0.52312,-0.484171,1.8257,1.81213
-0.52345,-0.484578,1.82583,1.81236
-0.52379,-0.484985,1.82596,1.81262
-0.52412,-0.485421,1.82609,1.81291
-0.52445,-0.485799,1.82622,1.8132
-0.52479,-0.486206,1.82635,1.8135
-0.52512,-0.486584,1.82648,1.81379
-0.52545,-0.486933,1.82661,1.81405
-0.52578,-0.487253,1.82674,1.81425
-0.52612,-0.487602,1.82687,1.81454
-0.52645,-0.487922,1.82699,1.8148
-0.52678,-0.48827,1.82712,1.81509
-0.52712,-0.488648,1.82725,1.81541
-0.52745,-0.489026,1.82738,1.81573
-0.52778,-0.489433,1.82751,1.81608
-0.52812,-0.489869,1.82764,1.81649
-0.52845,-0.490218,1.82776,1.81681
-0.52878,-0.490596,1.82789,1.81719
-0.52912,-0.490974,1.82802,1.81754
-0.52945,-0.491323,1.82815,1.81789
-0.52978,-0.491672,1.82827,1.81821
-0.53011,-0.492079,1.8284,1.81861
-0.53045,-0.492457,1.82853,1.81899
-0.53078,-0.492835,1.82866,1.81937
-0.53111,-0.493155,1.82878,1.81969
-0.53145,-0.493533,1.82891,1.82007
-0.53178,-0.493882,1.82904,1.82041
-0.53211,-0.494202,1.82916,1.82073
-0.53245,-0.49455,1.82929,1.82108
-0.53278,-0.49487,1.82942,1.8214
-0.53311,-0.49519,1.82954,1.82172
-0.53344,-0.49551,1.82967,1.82204
-0.53378,-0.495859,1.82979,1.82239
-0.53411,-0.496295,1.82992,1.82283
-0.53444,-0.496673,1.83004,1.82321
-0.53478,-0.496993,1.83017,1.8235
