angle_1,angle_1_t,angle_2,angle_2_t
-0.62229,-0.583255,1.85857,1.85719
-0.62262,-0.583604,1.85866,1.85714
-0.62295,-0.584069,1.85875,1.85722
-0.62327,-0.584418,1.85884,1.85719
-0.6236,-0.584884,1.85893,1.85728
-0.62393,-0.585407,1.85901,1.85743
-0.62426,-0.586017,1.8591,1.85763
-0.62459,-0.586657,1.85919,1.85792
-0.62492,-0.587122,1.85928,1.85809
-0.62525,-0.587558,1.85937,1.85824
-0.62558,-0.587994,1.85946,1.85841
-0.62591,-0.588402,1.85955,1.85856
-0.62624,-0.58875,1.85963,1.85871
-0.62657,-0.589157,1.85972,1.85885
-0.6269,-0.589564,1.85981,1.85903
-0.62723,-0.589972,1.8599,1.8592
-0.62756,-0.590408,1.85998,1.85946
-0.62789,-0.590815,1.86007,1.85966
-0.62822,-0.591193,1.86016,1.85987
-0.62855,-0.591542,1.86025,1.86004
-0.62887,-0.59189,1.86033,1.86025
-0.6292,-0.59221,1.86042,1.86042
-0.62953,-0.592559,1.86051,1.86062
-0.62986,-0.592879,1.86059,1.86077
-0.63019,-0.593228,1.86068,1.861
-0.63052,-0.593577,1.86077,1.86126
-0.63085,-0.593955,1.86085,1.86153
-0.63118,-0.594304,1.86094,1.86182
-0.63151,-0.594594,1.86102,1.86199
-0.63184,-0.594885,1.86111,1.86222
-0.63217,-0.595147,1.8612,1.8624
-0.63249,-0.595437,1.86128,1.86263
-0.63282,-0.595815,1.86137,1.86292
-0.63315,-0.596193,1.86145,1.86324
-0.63348,-0.596571,1.86154,1.86356
-0.63381,-0.59692,1.86162,1.86385
-0.63414,-0.597327,1.86171,1.86423
-0.63447,-0.597647,1.86179,1.86449
-0.6348,-0.597909,1.86188,1.86469
-0.63513,-0.598258,1.86196,1.86501
-0.63546,-0.598577,1.86204,1.86531
-0.63578,-0.598984,1.86213,1.86565
-0.63611,-0.599421,1.86221,1.86603
-0.63644,-0.599769,1.8623,1.86635
-0.63677,-0.600089,1.86238,1.86664
-0.6371,-0.600351,1.86246,1.86688
-0.63743,-0.600613,1.86255,1.86708
-0.63776,-0.600932,1.86263,1.86737
-0.63809,-0.601281,1.86271,1.86769
-0.63841,-0.60163,1.8628,1.86801
-0.63874,-0.60195,1.86288,1.8683
-0.63907,-0.602241,1.86296,1.86859
-0.6394,-0.602532,1.86304,1.86882
-0.63973,-0.602735,1.86313,1.869
-0.64006,-0.603026,1.86321,1.86926
-0.64039,-0.603287,1.86329,1.86949
-0.64071,-0.603578,1.86337,1.86972
-0.64104,-0.603898,1.86345,1.86999
-0.64137,-0.604189,1.86354,1.87022
-0.6417,-0.604479,1.86362,1.87045
-0.64203,-0.604712,1.8637,1.8706
-0.64236,-0.605003,1.86378,1.8708
-0.64268,-0.605264,1.86386,1.87097
-0.64301,-0.605584,1.86394,1.87118
-0.64334,-0.605846,1.86402,1.87132
-0.64367,-0.606137,1.8641,1.8715
-0.644,-0.606427,1.86419,1.87167
-0.64433,-0.606718,1.86427,1.87182
-0.64465,-0.607009,1.86435,1.87193
-0.64498,-0.607271,1.86443,1.87202
-0.64531,-0.607561,1.86451,1.87211
-0.64564,-0.60791,1.86459,1.87225
-0.64597,-0.60823,1.86467,1.87234
-0.6463,-0.60855,1.86475,1.8724
-0.64662,-0.60887,1.86483,1.87243
-0.64695,-0.609131,1.86491,1.87234
-0.64728,-0.609422,1.86498,1.87225
-0.64761,-0.609713,1.86506,1.87214
-0.64794,-0.610033,1.86514,1.87205
-0.64826,-0.610382,1.86522,1.87188
-0.64859,-0.61073,1.8653,1.87176
-0.64892,-0.611021,1.86538,1.87159
-0.64925,-0.611312,1.86546,1.87138
-0.64958,-0.611574,1.86554,1.87115
-0.6499,-0.611835,1.86561,1.87086
-0.65023,-0.612126,1.86569,1.87071
-0.65056,-0.612446,1.86577,1.87054
-0.65089,-0.612737,1.86585,1.87034
-0.65122,-0.613056,1.86593,1.87013
-0.65154,-0.613376,1.866,1.86996
-0.65187,-0.613754,1.86608,1.86981
-0.6522,-0.614161,1.86616,1.86972
-0.65253,-0.614539,1.86623,1.86961
-0.65286,-0.614975,1.86631,1.86955
-0.65318,-0.615353,1.86639,1.86952
-0.65351,-0.61576,1.86646,1.86955
-0.65384,-0.616225,1.86654,1.86964
-0.65417,-0.616662,1.86662,1.86967
-0.65449,-0.617185,1.86669,1.86972
-0.65482,-0.617737,1.86677,1.86984
-0.65515,-0.618202,1.86685,1.86987
-0.65548,-0.618697,1.86692,1.86999
-0.6558,-0.619133,1.867,1.87004
-0.65613,-0.61954,1.86707,1.87004
-0.65646,-0.620005,1.86715,1.87019
-0.65679,-0.62047,1.86722,1.87025
-0.65711,-0.620964,1.8673,1.87045
-0.65744,-0.621459,1.86737,1.87065
-0.65777,-0.621924,1.86745,1.87083
-0.6581,-0.622389,1.86752,1.871
-0.65842,-0.622883,1.8676,1.87115
-0.65875,-0.623349,1.86767,1.87132
-0.65908,-0.623697,1.86775,1.87144
-0.65941,-0.624104,1.86782,1.87153
-0.65973,-0.62457,1.86789,1.87164
-0.66006,-0.625035,1.86797,1.87179
-0.66039,-0.625442,1.86804,1.87191
-0.66071,-0.625878,1.86812,1.87202
-0.66104,-0.626227,1.86819,1.87205
-0.66137,-0.626576,1.86826,1.87205
-0.6617,-0.626954,1.86834,1.87205
-0.66202,-0.627186,1.86841,1.87196
-0.66235,-0.627477,1.86848,1.87196
-0.66268,-0.627797,1.86856,1.87191
-0.663,-0.628117,1.86863,1.87199
-0.66333,-0.628495,1.8687,1.87202
-0.66366,-0.628844,1.86877,1.87208
-0.66399,-0.629192,1.86884,1.87217
-0.66431,-0.629425,1.86892,1.87214
-0.66464,-0.629687,1.86899,1.8722
-0.66497,-0.629919,1.86906,1.87222
-0.66529,-0.630181,1.86913,1.87228
-0.66562,-0.630443,1.8692,1.87237
-0.66595,-0.630675,1.86928,1.87243
-0.66627,-0.630995,1.86935,1.87254
-0.6666,-0.631228,1.86942,1.8726
-0.66693,-0.63146,1.86949,1.87266
-0.66725,-0.631693,1.86956,1.87275
-0.66758,-0.631896,1.86963,1.87278
-0.66791,-0.632187,1.8697,1.87289
-0.66823,-0.632449,1.86977,1.87301
-0.66856,-0.632681,1.86984,1.87307
-0.66889,-0.632943,1.86991,1.87316
-0.66921,-0.633117,1.86998,1.87318
-0.66954,-0.633321,1.87005,1.87321
-0.66987,-0.633466,1.87012,1.87318
-0.67019,-0.63367,1.87019,1.87318
-0.67052,-0.633961,1.87026,1.8733
-0.67085,-0.634251,1.87033,1.87342
-0.67117,-0.634513,1.8704,1.8735
-0.6715,-0.634775,1.87047,1.87362
-0.67183,-0.634949,1.87054,1.87362
-0.67215,-0.635124,1.87061,1.87362
-0.67248,-0.635356,1.87068,1.87371
-0.6728,-0.635647,1.87074,1.87382
-0.67313,-0.635879,1.87081,1.87388
-0.67346,-0.63617,1.87088,1.87403
-0.67378,-0.636432,1.87095,1.87411
-0.67411,-0.636694,1.87102,1.87423
-0.67444,-0.636926,1.87108,1.87429
-0.67476,-0.637159,1.87115,1.87438
-0.67509,-0.637449,1.87122,1.87449
-0.67541,-0.637711,1.87129,1.87455
-0.67574,-0.638002,1.87135,1.87467
-0.67607,-0.638293,1.87142,1.87475
-0.67639,-0.638554,1.87149,1.87484
-0.67672,-0.638816,1.87156,1.8749
-0.67704,-0.639107,1.87162,1.87499
-0.67737,-0.639427,1.87169,1.87505
-0.6777,-0.639688,1.87175,1.87507
-0.67802,-0.639979,1.87182,1.87513
-0.67835,-0.640241,1.87189,1.87513
-0.67867,-0.640502,1.87195,1.87516
-0.679,-0.640793,1.87202,1.87516
-0.67932,-0.641113,1.87208,1.87516
-0.67965,-0.641462,1.87215,1.87519
-0.67998,-0.641811,1.87222,1.87519
-0.6803,-0.642159,1.87228,1.87516
-0.68063,-0.642508,1.87235,1.87513
-0.68095,-0.642857,1.87241,1.87499
-0.68128,-0.643206,1.87248,1.87493
-0.6816,-0.643526,1.87254,1.87481
-0.68193,-0.643904,1.87261,1.87473
-0.68226,-0.644253,1.87267,1.87458
-0.68258,-0.64466,1.87273,1.87452
-0.68291,-0.645067,1.8728,1.87443
-0.68323,-0.645474,1.87286,1.87438
-0.68356,-0.645823,1.87293,1.87426
-0.68388,-0.646172,1.87299,1.87414
-0.68421,-0.64655,1.87305,1.87409
-0.68453,-0.646928,1.87312,1.874
-0.68486,-0.647364,1.87318,1.87397
-0.68518,-0.647742,1.87324,1.87394
-0.68551,-0.648178,1.87331,1.87394
-0.68584,-0.648672,1.87337,1.87391
-0.68616,-0.649079,1.87343,1.87385
-0.68649,-0.649573,1.8735,1.87385
-0.68681,-0.649951,1.87356,1.87382
-0.68714,-0.650329,1.87362,1.87382
-0.68746,-0.650794,1.87368,1.87394
-0.68779,-0.651202,1.87375,1.874
-0.68811,-0.651638,1.87381,1.87406
-0.68844,-0.652016,1.87387,1.87414
-0.68876,-0.652394,1.87393,1.8742
-0.68909,-0.652742,1.87399,1.87426
-0.68941,-0.653091,1.87405,1.87432
-0.68974,-0.65344,1.87412,1.87443
-0.69006,-0.653789,1.87418,1.87455
-0.69039,-0.654167,1.87424,1.87473
-0.69071,-0.654545,1.8743,1.8749
-0.69104,-0.654894,1.87436,1.87507
-0.69136,-0.655214,1.87442,1.87525
-0.69169,-0.655504,1.87448,1.87542
-0.69201,-0.655766,1.87454,1.87557
-0.69234,-0.656028,1.8746,1.87574
-0.69266,-0.656289,1.87466,1.87592
-0.69298,-0.656609,1.87472,1.87618
-0.69331,-0.6569,1.87478,1.87638
-0.69363,-0.657162,1.87484,1.87662
-0.69396,-0.657452,1.8749,1.87688
-0.69428,-0.657656,1.87496,1.87705
-0.69461,-0.657889,1.87502,1.87728
-0.69493,-0.65815,1.87508,1.87755
-0.69526,-0.658383,1.87514,1.87778
-0.69558,-0.658615,1.8752,1.87801
-0.69591,-0.658877,1.87525,1.87827
-0.69623,-0.65911,1.87531,1.8785
-0.69655,-0.659342,1.87537,1.87874
-0.69688,-0.659575,1.87543,1.87897
-0.6972,-0.659807,1.87549,1.8792
-0.69753,-0.66004,1.87555,1.87944
-0.69785,-0.660214,1.8756,1.87961
-0.69818,-0.660447,1.87566,1.87984
-0.6985,-0.66068,1.87572,1.88007
-0.69882,-0.66097,1.87578,1.88037
-0.69915,-0.661203,1.87583,1.8806
-0.69947,-0.661436,1.87589,1.88083
-0.6998,-0.661668,1.87595,1.88106
-0.70012,-0.661843,1.87601,1.88127
-0.70044,-0.662046,1.87606,1.88147
-0.70077,-0.66225,1.87612,1.88167
-0.70109,-0.662482,1.87617,1.88191
-0.70142,-0.662686,1.87623,1.88211
-0.70174,-0.662947,1.87629,1.88237
-0.70206,-0.663209,1.87634,1.88263
-0.70239,-0.663442,1.8764,1.88287
-0.70271,-0.663703,1.87646,1.88313
-0.70303,-0.663907,1.87651,1.88333
-0.70336,-0.664139,1.87657,1.88356
-0.70368,-0.66443,1.87662,1.88385
-0.70401,-0.664721,1.87668,1.88415
-0.70433,-0.665041,1.87673,1.88447
-0.70465,-0.665361,1.87679,1.88478
-0.70498,-0.665651,1.87684,1.88508
-0.7053,-0.665942,1.8769,1.88537
-0.70562,-0.666233,1.87695,1.88563
-0.70595,-0.666524,1.87701,1.88592
-0.70627,-0.666843,1.87706,1.88624
-0.70659,-0.667192,1.87711,1.88659
-0.70692,-0.667541,1.87717,1.88694
-0.70724,-0.667861,1.87722,1.88723
-0.70756,-0.668123,1.87728,1.88749
-0.70789,-0.668413,1.87733,1.88775
-0.70821,-0.668675,1.87738,1.88798
-0.70853,-0.668995,1.87744,1.88827
-0.70886,-0.669315,1.87749,1.88856
-0.70918,-0.669693,1.87754,1.88888
-0.7095,-0.670042,1.87759,1.88918
-0.70983,-0.670361,1.87765,1.88947
-0.71015,-0.67071,1.8777,1.88976
-0.71047,-0.67103,1.87775,1.89005
-0.7108,-0.671379,1.8778,1.89034
-0.71112,-0.671728,1.87786,1.89063
-0.71144,-0.672019,1.87791,1.89089
-0.71176,-0.672367,1.87796,1.89118
-0.71209,-0.672716,1.87801,1.8915
-0.71241,-0.673094,1.87806,1.89182
-0.71273,-0.673472,1.87812,1.89217
-0.71306,-0.673821,1.87817,1.89249
-0.71338,-0.674228,1.87822,1.89287
-0.7137,-0.674635,1.87827,1.89322
-0.71402,-0.675071,1.87832,1.89357
-0.71435,-0.67542,1.87837,1.89386
-0.71467,-0.675769,1.87842,1.89415
-0.71499,-0.676089,1.87847,1.89438
-0.71532,-0.676438,1.87852,1.89461
-0.71564,-0.676816,1.87857,1.8949
-0.71596,-0.677223,1.87862,1.89519
-0.71628,-0.67763,1.87867,1.89546
-0.71661,-0.678037,1.87872,1.89569
-0.71693,-0.678415,1.87877,1.89589
-0.71725,-0.678764,1.87882,1.89601
-0.71757,-0.679113,1.87887,1.89609
-0.71789,-0.679462,1.87892,1.89615
-0.71822,-0.67981,1.87897,1.89618
-0.71854,-0.680247,1.87902,1.89624
-0.71886,-0.680624,1.87907,1.89618
-0.71918,-0.681032,1.87912,1.89609
-0.71951,-0.681409,1.87916,1.89595
-0.71983,-0.681758,1.87921,1.89575
-0.72015,-0.682107,1.87926,1.89551
-0.72047,-0.682427,1.87931,1.89519
-0.72079,-0.682747,1.87936,1.8949
-0.72112,-0.683096,1.8794,1.89458
-0.72144,-0.683474,1.87945,1.89432
-0.72176,-0.683852,1.8795,1.89403
-0.72208,-0.684259,1.87955,1.89377
-0.7224,-0.684608,1.87959,1.89348
-0.72273,-0.684986,1.87964,1.89313
-0.72305,-0.685364,1.87969,1.89278
-0.72337,-0.685742,1.87974,1.8924
-0.72369,-0.686119,1.87978,1.89202
-0.72401,-0.686527,1.87983,1.89168
-0.72433,-0.686904,1.87987,1.89127
-0.72466,-0.687341,1.87992,1.89092
-0.72498,-0.687777,1.87997,1.8906
-0.7253,-0.688213,1.88001,1.89031
-0.72562,-0.688678,1.88006,1.89008
-0.72594,-0.689114,1.88011,1.88984
-0.72626,-0.689608,1.88015,1.8897
-0.72659,-0.690103,1.8802,1.88961
-0.72691,-0.690626,1.88024,1.88958
-0.72723,-0.691149,1.88029,1.88961
-0.72755,-0.691644,1.88033,1.88964
-0.72787,-0.692109,1.88038,1.88967
-0.72819,-0.692603,1.88042,1.88976
-0.72851,-0.693097,1.88047,1.88987
-0.72883,-0.693621,1.88051,1.89005
-0.72916,-0.694144,1.88055,1.89025
-0.72948,-0.694725,1.8806,1.89051
-0.7298,-0.695307,1.88064,1.89077
-0.73012,-0.695859,1.88069,1.89098
-0.73044,-0.696354,1.88073,1.89118
-0.73076,-0.69679,1.88077,1.89133
-0.73108,-0.697284,1.88082,1.89147
-0.7314,-0.69772,1.88086,1.89159
-0.73172,-0.698127,1.8809,1.89165
-0.73205,-0.698563,1.88095,1.89173
-0.73237,-0.699087,1.88099,1.89188
-0.73269,-0.699552,1.88103,1.892
-0.73301,-0.700075,1.88108,1.89211
-0.73333,-0.700569,1.88112,1.8922
-0.73365,-0.701034,1.88116,1.89229
-0.73397,-0.701471,1.8812,1.89234
-0.73429,-0.701849,1.88125,1.89237
-0.73461,-0.702227,1.88129,1.89243
-0.73493,-0.702663,1.88133,1.89249
-0.73525,-0.703099,1.88137,1.89255
-0.73557,-0.703535,1.88141,1.89261
-0.73589,-0.703942,1.88145,1.89269
-0.73621,-0.704349,1.8815,1.89272
-0.73653,-0.704727,1.88154,1.89275
-0.73685,-0.705076,1.88158,1.89269
-0.73717,-0.705396,1.88162,1.89269
-0.73749,-0.705744,1.88166,1.89263
-0.73782,-0.706064,1.8817,1.89255
-0.73814,-0.706413,1.88174,1.89252
-0.73846,-0.706733,1.88178,1.89243
-0.73878,-0.707111,1.88182,1.89237
-0.7391,-0.707431,1.88186,1.89234
-0.73942,-0.707751,1.8819,1.89223
-0.73974,-0.70807,1.88194,1.89211
-0.74006,-0.708419,1.88198,1.89205
-0.74038,-0.708768,1.88202,1.89197
-0.7407,-0.709117,1.88206,1.89188
-0.74102,-0.709437,1.8821,1.89179
-0.74134,-0.709757,1.88214,1.89168
-0.74166,-0.710077,1.88218,1.89156
-0.74197,-0.710367,1.88221,1.89147
-0.74229,-0.710687,1.88225,1.89136
-0.74261,-0.711036,1.88229,1.89124
-0.74293,-0.711356,1.88233,1.89112
-0.74325,-0.711676,1.88237,1.89098
-0.74357,-0.711995,1.88241,1.89083
-0.74389,-0.712315,1.88244,1.89063
-0.74421,-0.712664,1.88248,1.89048
-0.74453,-0.713013,1.88252,1.89034
-0.74485,-0.713362,1.88256,1.89016
-0.74517,-0.713711,1.88259,1.88999
-0.74549,-0.71406,1.88263,1.8899
-0.74581,-0.714379,1.88267,1.88973
-0.74613,-0.714699,1.88271,1.88958
-0.74645,-0.715019,1.88274,1.88947
-0.74677,-0.715397,1.88278,1.88941
-0.74709,-0.715746,1.88282,1.88935
-0.74741,-0.716124,1.88285,1.88938
-0.74772,-0.716473,1.88289,1.88941
-0.74804,-0.716851,1.88292,1.88949
-0.74836,-0.717229,1.88296,1.88958
-0.74868,-0.717578,1.883,1.88964
-0.749,-0.717897,1.88303,1.88973
-0.74932,-0.718275,1.88307,1.8899
-0.74964,-0.718653,1.8831,1.89005
-0.74996,-0.719002,1.88314,1.89019
-0.75028,-0.71938,1.88317,1.8904
-0.7506,-0.7197,1.88321,1.89054
-0.75091,-0.720049,1.88324,1.89075
-0.75123,-0.720311,1.88328,1.89086
-0.75155,-0.720601,1.88331,1.89104
-0.75187,-0.720921,1.88335,1.89121
-0.75219,-0.721241,1.88338,1.89141
-0.75251,-0.721532,1.88342,1.89156
-0.75283,-0.721852,1.88345,1.89173
-0.75314,-0.722113,1.88348,1.89188
-0.75346,-0.722433,1.88352,1.89208
-0.75378,-0.722753,1.88355,1.89229
-0.7541,-0.723044,1.88358,1.89246
-0.75442,-0.723305,1.88362,1.89258
-0.75474,-0.723538,1.88365,1.89269
-0.75505,-0.723799,1.88368,1.89284
-0.75537,-0.724061,1.88372,1.89298
-0.75569,-0.724352,1.88375,1.89316
-0.75601,-0.724672,1.88378,1.89339
-0.75633,-0.724962,1.88381,1.89357
-0.75664,-0.725282,1.88385,1.8938
-0.75696,-0.725573,1.88388,1.89397
-0.75728,-0.725835,1.88391,1.89415
-0.7576,-0.726067,1.88394,1.89432
-0.75792,-0.726271,1.88397,1.89444
-0.75823,-0.726474,1.88401,1.89455
-0.75855,-0.726736,1.88404,1.89473
-0.75887,-0.726969,1.88407,1.8949
-0.75919,-0.727259,1.8841,1.89511
-0.75951,-0.72755,1.88413,1.89534
-0.75982,-0.727783,1.88416,1.89546
-0.76014,-0.728044,1.88419,1.89563
-0.76046,-0.728219,1.88422,1.89572
-0.76078,-0.728422,1.88425,1.89583
-0.76109,-0.728655,1.88428,1.89598
-0.76141,-0.728887,1.88432,1.89612
-0.76173,-0.729149,1.88435,1.89627
-0.76205,-0.72944,1.88438,1.89647
-0.76236,-0.729672,1.88441,1.89662
-0.76268,-0.729934,1.88443,1.89676
-0.763,-0.730167,1.88446,1.89688
-0.76331,-0.730428,1.88449,1.89703
-0.76363,-0.730661,1.88452,1.89714
-0.76395,-0.730923,1.88455,1.89726
-0.76427,-0.731126,1.88458,1.89734
-0.76458,-0.731359,1.88461,1.8974
-0.7649,-0.731562,1.88464,1.89746
-0.76522,-0.731824,1.88467,1.89758
-0.76553,-0.732086,1.8847,1.89772
-0.76585,-0.732376,1.88472,1.89781
-0.76617,-0.732638,1.88475,1.89793
-0.76648,-0.7329,1.88478,1.89801
-0.7668,-0.733103,1.88481,1.89804
-0.76712,-0.733278,1.88484,1.89801
-0.76744,-0.733481,1.88486,1.89804
-0.76775,-0.733714,1.88489,1.89807
-0.76807,-0.733946,1.88492,1.8981
-0.76838,-0.734208,1.88495,1.89813
-0.7687,-0.73447,1.88497,1.89816
-0.76902,-0.734702,1.885,1.89813
-0.76933,-0.734935,1.88503,1.8981
-0.76965,-0.735138,1.88505,1.89804
-0.76997,-0.735342,1.88508,1.89796
-0.77028,-0.735604,1.88511,1.89787
-0.7706,-0.735865,1.88513,1.89784
-0.77092,-0.736127,1.88516,1.89784
-0.77123,-0.736389,1.88518,1.89784
-0.77155,-0.736621,1.88521,1.89775
-0.77186,-0.736883,1.88523,1.89772
-0.77218,-0.737115,1.88526,1.89766
-0.7725,-0.737377,1.88529,1.89764
-0.77281,-0.737581,1.88531,1.89752
-0.77313,-0.737871,1.88534,1.89746
-0.77344,-0.738133,1.88536,1.89737
-0.77376,-0.738395,1.88539,1.89729
-0.77408,-0.738714,1.88541,1.89723
-0.77439,-0.739005,1.88543,1.89705
-0.77471,-0.739267,1.88546,1.89682
-0.77502,-0.739558,1.88548,1.89662
-0.77534,-0.739819,1.88551,1.89636
-0.77565,-0.740139,1.88553,1.89609
-0.77597,-0.74043,1.88555,1.89577
-0.77629,-0.740779,1.88558,1.89548
-0.7766,-0.741128,1.8856,1.89519
-0.77692,-0.741506,1.88563,1.89496
-0.77723,-0.741854,1.88565,1.89473
-0.77755,-0.742232,1.88567,1.89447
-0.77786,-0.742669,1.88569,1.89423
-0.77818,-0.743221,1.88572,1.89412
-0.77849,-0.743686,1.88574,1.894
-0.77881,-0.74418,1.88576,1.89406
-0.77912,-0.744558,1.88579,1.89403
-0.77944,-0.744965,1.88581,1.89406
-0.77975,-0.745372,1.88583,1.89409
-0.78007,-0.745809,1.88585,1.89418
-0.78038,-0.746274,1.88587,1.89426
-0.7807,-0.746739,1.88589,1.89435
-0.78101,-0.747204,1.88592,1.89444
-0.78133,-0.747698,1.88594,1.89458
-0.78164,-0.748105,1.88596,1.89464
-0.78196,-0.748512,1.88598,1.89473
-0.78227,-0.748949,1.886,1.89482
-0.78259,-0.749297,1.88602,1.89487
-0.7829,-0.749704,1.88604,1.89496
-0.78322,-0.750141,1.88606,1.89508
-0.78353,-0.750577,1.88608,1.89519
-0.78385,-0.751013,1.8861,1.89534
-0.78416,-0.751449,1.88612,1.89548
-0.78448,-0.751885,1.88614,1.89563
-0.78479,-0.752321,1.88616,1.89577
-0.7851,-0.752728,1.88618,1.89589
-0.78542,-0.753281,1.8862,1.89604
-0.78573,-0.753862,1.88622,1.89621
-0.78605,-0.754327,1.88624,1.89627
-0.78636,-0.754822,1.88626,1.89633
-0.78667,-0.755316,1.88628,1.89639
-0.78699,-0.755781,1.8863,1.89644
-0.7873,-0.756333,1.88632,1.89656
-0.78762,-0.756828,1.88634,1.89662
-0.78793,-0.757206,1.88636,1.89665
-0.78824,-0.757671,1.88637,1.89671
-0.78856,-0.758049,1.88639,1.89671
-0.78887,-0.758427,1.88641,1.89671
-0.78919,-0.758805,1.88643,1.89679
-0.7895,-0.759124,1.88645,1.89679
-0.78981,-0.759444,1.88646,1.89682
-0.79013,-0.759764,1.88648,1.89682
-0.79044,-0.760084,1.8865,1.89685
-0.79075,-0.760375,1.88652,1.89682
-0.79107,-0.760694,1.88653,1.89682
-0.79138,-0.760985,1.88655,1.89679
-0.79169,-0.761276,1.88657,1.89679
-0.79201,-0.761567,1.88658,1.89676
-0.79232,-0.761828,1.8866,1.89668
-0.79263,-0.76209,1.88662,1.89662
-0.79295,-0.762381,1.88663,1.89656
-0.79326,-0.762701,1.88665,1.89656
-0.79357,-0.762991,1.88666,1.89653
-0.79389,-0.763282,1.88668,1.8965
-0.7942,-0.763602,1.8867,1.89641
-0.79451,-0.76398,1.88671,1.8963
-0.79483,-0.764329,1.88673,1.89618
-0.79514,-0.764678,1.88674,1.89609
-0.79545,-0.765027,1.88676,1.89598
-0.79576,-0.765463,1.88677,1.89589
-0.79608,-0.765986,1.88679,1.89589
-0.79639,-0.766422,1.8868,1.89575
-0.7967,-0.766713,1.88682,1.89563
-0.79702,-0.767033,1.88683,1.89531
-0.79733,-0.767469,1.88684,1.89511
-0.79764,-0.767789,1.88686,1.89496
-0.79795,-0.768137,1.88687,1.89484
-0.79827,-0.768457,1.88689,1.8947
-0.79858,-0.768748,1.8869,1.89452
-0.79889,-0.76901,1.88691,1.89435
-0.7992,-0.769271,1.88693,1.89415
-0.79952,-0.769591,1.88694,1.89403
-0.79983,-0.769911,1.88695,1.89397
-0.80014,-0.77026,1.88697,1.89394
-0.80045,-0.770638,1.88698,1.89397
-0.80076,-0.770987,1.88699,1.894
-0.80108,-0.771336,1.887,1.89406
-0.80139,-0.771626,1.88702,1.89406
-0.8017,-0.771917,1.88703,1.89406
-0.80201,-0.772208,1.88704,1.89406
-0.80232,-0.772586,1.88705,1.89415
-0.80264,-0.772935,1.88706,1.8942
-0.80295,-0.773342,1.88708,1.89435
-0.80326,-0.77372,1.88709,1.89444
-0.80357,-0.774069,1.8871,1.89452
-0.80388,-0.774417,1.88711,1.89458
-0.80419,-0.774708,1.88712,1.89461
-0.8045,-0.775173,1.88713,1.8947
-0.80482,-0.775639,1.88714,1.89487
-0.80513,-0.776162,1.88715,1.89508
-0.80544,-0.776656,1.88717,1.89534
-0.80575,-0.777179,1.88718,1.89554
-0.80606,-0.777528,1.88719,1.89566
-0.80637,-0.777819,1.8872,1.89575
-0.80668,-0.778139,1.88721,1.8958
-0.807,-0.778575,1.88722,1.89601
-0.80731,-0.779011,1.88723,1.89615
-0.80762,-0.779476,1.88724,1.89633
-0.80793,-0.779854,1.88725,1.89647
-0.80824,-0.780232,1.88725,1.89659
-0.80855,-0.780523,1.88726,1.89665
-0.80886,-0.780814,1.88727,1.89671
-0.80917,-0.781046,1.88728,1.89671
-0.80948,-0.781366,1.88729,1.89679
-0.80979,-0.781686,1.8873,1.89688
-0.8101,-0.782035,1.88731,1.89703
-0.81041,-0.782384,1.88732,1.89714
-0.81072,-0.782674,1.88732,1.89723
-0.81104,-0.782936,1.88733,1.89729
-0.81135,-0.78314,1.88734,1.89726
-0.81166,-0.78343,1.88735,1.89729
-0.81197,-0.783779,1.88736,1.8974
-0.81228,-0.78407,1.88736,1.89749
-0.81259,-0.78439,1.88737,1.89755
-0.8129,-0.784681,1.88738,1.89761
-0.81321,-0.784884,1.88738,1.89758
-0.81352,-0.785146,1.88739,1.89761
-0.81383,-0.785349,1.8874,1.89758
-0.81414,-0.78564,1.88741,1.89764
-0.81445,-0.785873,1.88741,1.89764
-0.81476,-0.786134,1.88742,1.89769
-0.81507,-0.786367,1.88742,1.89769
-0.81538,-0.786599,1.88743,1.89769
-0.81569,-0.786774,1.88744,1.89764
-0.816,-0.786948,1.88744,1.89764
-0.81631,-0.787152,1.88745,1.89761
-0.81662,-0.787414,1.88745,1.89764
-0.81693,-0.787646,1.88746,1.89769
-0.81724,-0.78785,1.88746,1.89769
-0.81754,-0.788053,1.88747,1.89772
-0.81785,-0.788169,1.88747,1.89766
-0.81816,-0.788315,1.88748,1.89764
-0.81847,-0.788489,1.88748,1.89764
-0.81878,-0.788693,1.88749,1.89766
-0.81909,-0.788896,1.88749,1.89769
-0.8194,-0.7891,1.8875,1.89766
-0.81971,-0.789274,1.8875,1.89764
-0.82002,-0.78942,1.88751,1.89758
-0.82033,-0.789594,1.88751,1.89755
-0.82064,-0.789769,1.88751,1.89752
-0.82095,-0.790001,1.88752,1.89755
-0.82125,-0.790205,1.88752,1.89755
-0.82156,-0.790408,1.88752,1.89752
-0.82187,-0.790583,1.88753,1.89749
-0.82218,-0.790728,1.88753,1.89737
-0.82249,-0.790902,1.88753,1.89734
-0.8228,-0.791135,1.88754,1.89734
-0.82311,-0.791368,1.88754,1.89732
-0.82342,-0.791571,1.88754,1.89723
-0.82372,-0.791804,1.88754,1.8972
-0.82403,-0.791978,1.88754,1.89708
-0.82434,-0.792124,1.88755,1.89694
-0.82465,-0.792327,1.88755,1.89685
-0.82496,-0.792618,1.88755,1.89679
-0.82526,-0.792967,1.88755,1.89673
-0.82557,-0.793257,1.88755,1.89671
-0.82588,-0.79349,1.88756,1.89659
