torque_1,torque_2
-0.256487,-0.826177
-0.248358,-0.81841
-0.235081,-0.812097
-0.23605,-0.806075
-0.229374,-0.799762
-0.218859,-0.790542
-0.213869,-0.781612
-0.202686,-0.77152
-0.201184,-0.76259
-0.18282,-0.754242
-0.171637,-0.747057
-0.161122,-0.739009
-0.14994,-0.73037
-0.145385,-0.722603
-0.131818,-0.72007
-0.124124,-0.713175
-0.117534,-0.706281
-0.100973,-0.701421
-0.0908946,-0.698888
-0.077327,-0.69461
-0.0710872,-0.695566
-0.0640613,-0.69216
-0.04939,-0.690499
-0.0403289,-0.68971
-0.0287965,-0.687177
-0.0180502,-0.685807
-0.012478,-0.683273
0.00306556,-0.684229
0.0118359,-0.681114
0.0204609,-0.683814
0.037022,-0.686514
0.0392507,-0.686016
0.0489794,-0.686971
0.0658906,-0.690544
0.0753285,-0.693244
0.0839535,-0.699433
0.0984794,-0.700388
0.106232,-0.702216
0.109333,-0.70667
0.115573,-0.706753
0.132629,-0.708581
0.138869,-0.708955
0.155926,-0.713981
0.157659,-0.71261
0.170209,-0.71531
0.17296,-0.718883
0.17766,-0.719838
0.187679,-0.722238
0.198194,-0.724938
0.199055,-0.727638
0.207099,-0.729466
0.217118,-0.729549
0.220365,-0.730505
0.226604,-0.733786
0.237119,-0.732707
0.244145,-0.730173
0.243843,-0.726477
0.249852,-0.720455
0.261034,-0.717631
0.262186,-0.709864
0.263397,-0.701225
0.269055,-0.692005
0.271575,-0.684238
0.278251,-0.675018
0.291237,-0.672484
0.285411,-0.666462
0.294908,-0.659277
0.293734,-0.656744
0.290729,-0.656246
0.303656,-0.653131
0.296291,-0.653214
0.292064,-0.65417
0.292548,-0.652218
0.294136,-0.655499
0.299563,-0.657609
0.296644,-0.654494
0.284422,-0.655449
0.284325,-0.657277
0.287366,-0.654744
0.282763,-0.654827
0.262691,-0.652584
0.260558,-0.650923
0.258076,-0.649262
0.254576,-0.648764
0.251426,-0.64972
0.247926,-0.647768
0.244776,-0.650468
0.241276,-0.652868
0.238126,-0.655568
0.234626,-0.658268
0.231126,-0.660968
0.227976,-0.661633
0.224476,-0.668984
0.221326,-0.671684
0.198201,-0.673512
0.213308,-0.677084
0.210158,-0.679784
0.206658,-0.682184
0.203158,-0.684884
0.200008,-0.687584
0.196508,-0.690284
0.193358,-0.692984
0.189858,-0.695684
0.186358,-0.698384
0.183208,-0.701084
0.179708,-0.703484
0.176208,-0.705312
0.173058,-0.708012
0.169558,-0.710712
0.166408,-0.713412
0.162908,-0.71524
0.159408,-0.71794
0.156258,-0.72064
0.152758,-0.72304
0.149258,-0.72574
0.146108,-0.72844
0.142608,-0.73114
0.139108,-0.73384
0.135958,-0.73654
0.132458,-0.73894
0.128958,-0.74164
0.125808,-0.74434
0.122308,-0.74704
0.118808,-0.74974
0.115308,-0.75244
0.112158,-0.75514
0.108658,-0.75754
0.105158,-0.76024
0.102008,-0.76294
0.0985081,-0.76564
0.0950081,-0.76834
0.0918581,-0.77074
0.0883581,-0.77344
0.0848581,-0.77614
0.0813581,-0.77884
0.0782081,-0.78154
0.0747081,-0.78424
0.0712081,-0.78664
0.0680581,-0.78934
0.0645581,-0.79204
0.0610581,-0.79474
0.0575581,-0.79744
0.0544081,-0.79984
0.0509081,-0.80254
0.0474081,-0.805821
0.0439081,-0.807068
0.0407581,-0.809468
0.0372581,-0.812168
0.0337581,-0.814868
0.0302581,-0.816696
0.0271081,-0.819396
0.0236081,-0.821796
0.0201081,-0.823623
0.0166081,-0.826323
0.0134581,-0.829023
0.00995815,-0.831423
0.00645815,-0.834123
0.00295815,-0.836823
-0.000541852,-0.839523
-0.00369185,-0.842223
-0.00719185,-0.844623
-0.0106919,-0.847323
-0.0141919,-0.850023
-0.0176919,-0.852723
-0.0208419,-0.855123
-0.0243419,-0.857823
-0.0278419,-0.860523
-0.0313419,-0.863223
-0.0348419,-0.865623
-0.0379919,-0.868323
-0.0414919,-0.871023
-0.0449919,-0.873723
-0.0484919,-0.875823
-0.0526919,-0.880231
-0.0572419,-0.877951
-0.0614419,-0.879451
-0.0656419,-0.879779
-0.0698419,-0.881279
-0.0740419,-0.881034
-0.0782419,-0.882234
-0.0824419,-0.88577
-0.0866419,-0.888142
-0.0908419,-0.884118
-0.0953919,-0.884446
-0.0995919,-0.885946
-0.103792,-0.887155
-0.107992,-0.886901
-0.112192,-0.893053
-0.116392,-0.889029
-0.120592,-0.891983
-0.124792,-0.890857
-0.129342,-0.892357
