angle_1 angle_2
-1.11778 2.02978
-1.11749 2.03013
-1.1172 2.0305
-1.11694 2.03088
-1.11665 2.03123
-1.11636 2.03158
-1.1161 2.03193
-1.11583 2.03228
-1.11551 2.03257
-1.11522 2.03298
-1.1149 2.03324
-1.11461 2.0335
-1.11432 2.03376
-1.11394 2.03405
-1.11368 2.03434
-1.11336 2.03466
-1.11301 2.03484
-1.11267 2.03513
-1.11226 2.03542
-1.11194 2.03571
-1.11153 2.036
-1.11118 2.03623
-1.11086 2.03647
-1.11051 2.03667
-1.11011 2.03684
-1.10967 2.03705
-1.10929 2.03716
-1.10889 2.03728
-1.10845 2.03742
-1.10804 2.03751
-1.10758 2.0376
-1.10714 2.03766
-1.10673 2.03772
-1.1063 2.03774
-1.10586 2.03777
-1.10543 2.0378
-1.10493 2.03774
-1.10447 2.03772
-1.10397 2.03774
-1.10351 2.03772
-1.10307 2.03772
-1.10258 2.03772
-1.10211 2.03769
-1.10168 2.03766
-1.10121 2.03763
-1.10077 2.03757
-1.10034 2.03754
-1.09993 2.03748
-1.09955 2.03745
-1.09917 2.03742
-1.0988 2.03742
-1.09842 2.0374
-1.09801 2.0374
-1.09766 2.03742
-1.09731 2.03745
-1.09699 2.03748
-1.0967 2.03754
-1.09641 2.03757
-1.09615 2.03763
-1.09589 2.03766
-1.09563 2.03766
-1.09537 2.03766
-1.09513 2.03766
-1.0949 2.03763
-1.0947 2.03763
-1.09446 2.03763
-1.09426 2.0376
-1.09409 2.03763
-1.09394 2.03766
-1.09377 2.03766
-1.09359 2.03766
-1.09345 2.03766
-1.0933 2.03769
-1.09319 2.03772
-1.09304 2.03772
-1.09295 2.03774
-1.09284 2.03774
-1.09272 2.03777
-1.09263 2.03777
-1.09255 2.03777
-1.09246 2.0378
-1.0924 2.0378
-1.09231 2.0378
-1.09226 2.0378
-1.0922 2.0378
-1.09214 2.0378
-1.09208 2.0378
-1.09205 2.03783
-1.09199 2.0378
-1.09196 2.0378
-1.09191 2.03777
-1.09188 2.0378
-1.09188 2.03783
-1.09185 2.0378
-1.09182 2.0378
-1.09182 2.03783
-1.09179 2.0378
-1.09179 2.03783
-1.09176 2.0378
-1.09176 2.0378
-1.09176 2.03783
-1.09173 2.0378
-1.09173 2.0378
-1.09173 2.03783
-1.09173 2.03783
-1.0917 2.0378
-1.0917 2.03783
-1.0917 2.03783
-1.09167 2.0378
-1.09167 2.0378
-1.09167 2.03783
-1.09167 2.03783
-1.09162 2.03777
-1.09162 2.0378
-1.09159 2.03777
-1.09156 2.0378
-1.09156 2.0378
-1.09153 2.0378
-1.0915 2.0378
-1.09147 2.0378
-1.09144 2.0378
-1.09141 2.03783
-1.09138 2.03783
-1.09135 2.03786
-1.0913 2.03786
-1.09124 2.03786
-1.09121 2.03786
-1.09115 2.03789
-1.09109 2.03789
-1.09103 2.03795
-1.09095 2.03795
-1.09089 2.03798
-1.0908 2.03798
-1.09074 2.03804
-1.09069 2.03809
-1.0906 2.03815
-1.09048 2.03815
-1.09039 2.03821
-1.09028 2.03824
-1.09016 2.03827
-1.09007 2.03835
-1.08993 2.03838
-1.08981 2.03844
-1.08973 2.03853
-1.08958 2.03859
-1.08943 2.03865
-1.08926 2.03867
-1.08914 2.03882
-1.089 2.03891
-1.08882 2.03902
-1.08862 2.03911
-1.08845 2.03923
-1.08827 2.03931
-1.0881 2.03946
-1.08786 2.03958
-1.08766 2.03969
-1.08746 2.03987
-1.08723 2.03998
-1.08699 2.04013
-1.0867 2.04027
-1.08644 2.04036
-1.08618 2.04051
-1.08589 2.04062
-1.08563 2.04077
-1.08534 2.04091
-1.08504 2.04109
-1.08472 2.04126
-1.08438 2.04147
-1.08406 2.0417
-1.08374 2.04196
-1.08339 2.04219
-1.08301 2.04245
-1.08263 2.04272
-1.08225 2.04298
-1.08185 2.04321
-1.08147 2.04347
-1.08103 2.04368
-1.08063 2.04388
-1.08022 2.04411
-1.07978 2.04429
-1.07932 2.04443
-1.07888 2.04461
-1.07842 2.04475
-1.07792 2.04487
-1.07746 2.04501
-1.07696 2.04513
-1.0765 2.04527
-1.07603 2.04545
-1.07554 2.04559
-1.07504 2.04574
-1.07458 2.04594
-1.07408 2.04612
-1.07362 2.04632
-1.07312 2.0465
-1.07263 2.0467
-1.07214 2.04693
-1.07167 2.04716
-1.07112 2.04746
-1.07059 2.04777
-1.07007 2.04815
-1.06958 2.04847
-1.06911 2.04888
-1.06862 2.0492
-1.06815 2.04958
-1.06763 2.0499
-1.06716 2.05025
-1.06658 2.0506
-1.06609 2.05091
-1.06559 2.05118
-1.0651 2.05147
-1.06446 2.05167
-1.064 2.05185
-1.06353 2.05199
-1.06304 2.05208
-1.06254 2.05211
-1.06208 2.05214
-1.06149 2.05217
-1.061 2.05214
-1.06059 2.05222
-1.06013 2.05225
-1.05969 2.05234
-1.05929 2.05248
-1.05885 2.0526
-1.05847 2.0528
-1.05806 2.05295
-1.05769 2.05318
-1.05728 2.05333
-1.05693 2.05353
-1.05658 2.05371
-1.05626 2.05391
-1.05594 2.05408
-1.05562 2.05426
-1.05524 2.05446
-1.05495 2.05464
-1.05463 2.05475
-1.05437 2.05493
-1.05408 2.05501
-1.05379 2.05513
-1.0535 2.05519
-1.05324 2.05522
-1.05301 2.05531
-1.05271 2.05528
-1.05248 2.05531
-1.05222 2.05528
-1.05199 2.05528
-1.05173 2.05522
-1.05149 2.05522
-1.05126 2.05522
-1.05106 2.05522
-1.05085 2.05525
-1.05065 2.05528
-1.05045 2.05533
-1.05027 2.05539
-1.05004 2.05548
-1.04987 2.05557
-1.04972 2.05571
-1.04955 2.0558
-1.0494 2.05594
-1.04925 2.05609
-1.04911 2.05621
-1.04899 2.05635
-1.04885 2.05647
-1.0487 2.05658
-1.04861 2.05676
-1.0485 2.05685
-1.04838 2.05696
-1.0483 2.05708
-1.04818 2.05717
-1.04809 2.05725
-1.04803 2.05737
-1.04795 2.05746
-1.04783 2.05754
-1.04777 2.05766
-1.04771 2.05778
-1.04763 2.05786
-1.04757 2.05798
-1.04751 2.0581
-1.04745 2.05821
-1.04742 2.05839
-1.04739 2.05856
-1.04736 2.05871
-1.04734 2.05885
-1.04728 2.059
-1.04725 2.05914
-1.04722 2.05929
-1.04722 2.05949
-1.04719 2.05964
-1.04719 2.05981
-1.04719 2.05999
-1.04716 2.0601
-1.04716 2.06025
-1.04716 2.06039
-1.04713 2.06048
-1.04713 2.0606
-1.04713 2.06071
-1.04713 2.06083
-1.04713 2.06095
-1.04713 2.06106
-1.04713 2.06115
-1.04713 2.06124
-1.04713 2.06132
-1.0471 2.06141
-1.0471 2.0615
-1.0471 2.06159
-1.0471 2.06167
-1.0471 2.06176
-1.0471 2.06185
-1.04707 2.0619
-1.04707 2.06199
-1.04707 2.06205
-1.04704 2.06211
-1.04702 2.06211
-1.04702 2.06217
-1.04699 2.06217
-1.04696 2.0622
-1.04693 2.06222
-1.0469 2.06222
-1.04687 2.06222
-1.04684 2.06222
-1.04681 2.06225
-1.04675 2.06222
-1.04673 2.06222
-1.04667 2.06222
-1.04661 2.0622
-1.04658 2.0622
-1.04652 2.06222
-1.04646 2.0622
-1.04641 2.0622
-1.04635 2.06217
-1.04632 2.06222
-1.04623 2.0622
-1.04617 2.06222
-1.04609 2.06217
-1.04603 2.0622
-1.04594 2.0622
-1.04588 2.0622
-1.04577 2.06217
-1.04571 2.0622
-1.04562 2.0622
-1.04553 2.0622
-1.04542 2.06217
-1.0453 2.06214
-1.04521 2.06217
-1.0451 2.06217
-1.04498 2.06217
-1.04486 2.06214
-1.04475 2.06214
-1.0446 2.06214
-1.04449 2.06217
-1.04434 2.06214
-1.0442 2.06217
-1.04405 2.06214
-1.0439 2.06217
-1.04376 2.06217
-1.04361 2.06217
-1.04344 2.06214
-1.04329 2.06217
-1.04312 2.06214
-1.04295 2.06214
-1.0428 2.06214
-1.04263 2.06214
-1.04245 2.06214
-1.04228 2.06214
-1.04207 2.06211
-1.0419 2.06214
-1.0417 2.06211
-1.04152 2.06211
-1.04135 2.06214
-1.04114 2.06214
-1.04094 2.06211
-1.04074 2.06211
-1.04053 2.06208
-1.04033 2.06208
-1.04013 2.06208
-1.03992 2.06205
-1.03969 2.06205
-1.03946 2.06202
-1.03925 2.06202
-1.03905 2.06205
-1.03882 2.06202
-1.03861 2.06202
-1.03838 2.06199
-1.03818 2.06199
-1.03794 2.06199
-1.03774 2.06199
-1.03751 2.06199
-1.03728 2.06199
-1.03704 2.06199
-1.03681 2.06196
-1.03661 2.06202
-1.03637 2.06202
-1.03614 2.06205
-1.03588 2.06205
-1.03565 2.06208
-1.03539 2.06211
-1.03515 2.06214
-1.03486 2.06214
-1.0346 2.0622
-1.03434 2.06222
-1.03405 2.06228
-1.03373 2.06228
-1.03344 2.06237
-1.03312 2.06246
-1.0328 2.06254
-1.03245 2.06263
-1.0321 2.06275
-1.03175 2.06286
-1.03137 2.06295
-1.03097 2.06307
-1.03056 2.06316
-1.03015 2.06327
-1.02972 2.06339
-1.02928 2.06353
-1.02882 2.06368
-1.02835 2.06385
-1.02786 2.064
-1.02733 2.06414
-1.02681 2.06432
-1.02629 2.06452
-1.02576 2.0647
-1.02521 2.06484
