angle_1 angle_2
-0.968458 2.4444
-0.968458 2.4444
-0.968458 2.4444
-0.968545 2.44449
-0.968661 2.44461
-0.968807 2.44475
-0.96901 2.44496
-0.969243 2.44519
-0.969417 2.44536
-0.969592 2.44554
-0.969737 2.44568
-0.969853 2.4458
-0.969999 2.44594
-0.970173 2.44609
-0.970318 2.44615
-0.970522 2.44629
-0.970725 2.44641
-0.970958 2.44653
-0.971249 2.44664
-0.971481 2.44673
-0.971714 2.44673
-0.971918 2.4467
-0.972121 2.44664
-0.972325 2.44655
-0.972499 2.44647
-0.972703 2.44641
-0.972906 2.44632
-0.973168 2.44626
-0.973429 2.44626
-0.973691 2.44624
-0.973953 2.44618
-0.974243 2.44618
-0.974505 2.44609
-0.975028 2.446
-0.97529 2.44592
-0.975581 2.44586
-0.975872 2.44571
-0.976162 2.4456
-0.976453 2.44548
-0.976802 2.44536
-0.977122 2.44519
-0.977471 2.44504
-0.977849 2.44493
-0.978198 2.44478
-0.978546 2.44461
-0.978895 2.4444
-0.979244 2.4442
-0.979593 2.444
-0.979971 2.44379
-0.980349 2.44356
-0.980756 2.44333
-0.981163 2.44307
-0.981599 2.4428
-0.982064 2.44257
-0.98253 2.44231
-0.982995 2.44205
-0.98346 2.44182
-0.983954 2.44167
-0.984419 2.44153
-0.984914 2.44144
-0.985524 2.44141
-0.986077 2.44144
-0.986658 2.44144
-0.987327 2.44161
-0.987966 2.44179
-0.988606 2.44199
-0.989246 2.44216
-0.989856 2.44231
-0.990467 2.44248
-0.991019 2.4426
-0.991601 2.44275
-0.992153 2.4428
-0.992705 2.4428
-0.993258 2.4428
-0.993839 2.44278
-0.994421 2.44266
-0.995002 2.44251
-0.995555 2.44234
-0.996078 2.44202
-0.99666 2.4417
-0.997183 2.44132
-0.997677 2.4408
-0.998171 2.44033
-0.998608 2.43969
-0.999073 2.43911
-0.999538 2.43856
-1.00009 2.4378
-1.00058 2.43731
-1.00105 2.43682
-1.00154 2.43641
-1.00201 2.43606
-1.00253 2.43586
-1.003 2.43565
-1.00349 2.43554
-1.00399 2.43545
-1.00448 2.43542
-1.00497 2.43542
-1.00544 2.43539
-1.00591 2.43539
-1.00637 2.43539
-1.00678 2.43536
-1.00721 2.43536
-1.00759 2.4353
-1.00797 2.43522
-1.00835 2.43513
-1.00867 2.43495
-1.00899 2.43475
-1.00931 2.43455
-1.0096 2.43429
-1.00983 2.43397
-1.01009 2.43365
-1.01032 2.43333
-1.01056 2.43301
-1.01079 2.43266
-1.01102 2.43237
-1.01125 2.43211
-1.01146 2.43181
-1.01169 2.43158
-1.01192 2.43135
-1.01216 2.43117
-1.01236 2.431
-1.01259 2.43088
-1.01282 2.4308
-1.01306 2.43068
-1.01332 2.43062
-1.01355 2.43054
-1.01378 2.43042
-1.01402 2.43027
-1.01428 2.43016
-1.01448 2.42992
-1.01471 2.42969
-1.01492 2.42937
-1.01512 2.42902
-1.01533 2.42865
-1.0155 2.42821
-1.01573 2.4278
-1.01591 2.42731
-1.01608 2.42681
-1.01628 2.42635
-1.01646 2.42583
-1.01663 2.4253
-1.01684 2.42484
-1.01701 2.42437
-1.01719 2.42394
-1.01739 2.42353
-1.01756 2.42312
-1.01774 2.42274
-1.01791 2.42234
-1.01809 2.42196
-1.01823 2.42158
-1.01838 2.4212
-1.01849 2.42077
-1.01864 2.42039
-1.01873 2.41995
-1.01878 2.41949
-1.01884 2.41902
-1.01887 2.41859
-1.01887 2.41812
-1.01887 2.41771
-1.01887 2.41731
-1.01887 2.41693
-1.01887 2.41655
-1.01887 2.4162
-1.01884 2.41579
-1.01881 2.41545
-1.01873 2.41501
-1.01867 2.41463
-1.01858 2.41425
-1.01847 2.41388
-1.01838 2.4135
-1.01823 2.41309
-1.01815 2.41274
-1.018 2.41236
-1.01791 2.41207
-1.01777 2.41167
-1.01768 2.4114
-1.01756 2.41111
-1.01748 2.41085
-1.01739 2.41059
-1.0173 2.41033
-1.01721 2.41007
-1.01713 2.40981
-1.01704 2.40957
-1.01695 2.40931
-1.0169 2.40908
-1.01681 2.40885
-1.01675 2.40858
-1.01669 2.40835
-1.01663 2.40809
-1.01658 2.40783
-1.01655 2.4076
-1.01649 2.4073
-1.01646 2.40707
-1.01643 2.40678
-1.0164 2.40652
-1.0164 2.40626
-1.0164 2.40603
-1.01637 2.40573
-1.01637 2.4055
-1.01637 2.40518
-1.01637 2.40492
-1.01637 2.40466
-1.01637 2.40437
-1.01637 2.40408
-1.01637 2.40379
-1.01637 2.40353
-1.0164 2.40326
-1.0164 2.40294
-1.0164 2.40265
-1.01643 2.40236
-1.01643 2.40204
-1.01643 2.40175
-1.01643 2.40146
-1.01643 2.40117
-1.01643 2.40091
-1.01643 2.40065
-1.01643 2.40039
-1.01643 2.40015
-1.01643 2.39995
-1.01643 2.39972
-1.01643 2.39951
-1.01643 2.39931
-1.01643 2.39911
-1.01643 2.39893
-1.0164 2.3987
-1.01637 2.39847
-1.01637 2.39826
-1.01634 2.39803
-1.01631 2.3978
-1.01628 2.39754
-1.01623 2.3973
-1.01617 2.39701
-1.01614 2.39675
-1.01608 2.39649
-1.01608 2.39626
-1.01605 2.39602
-1.01602 2.39579
-1.01599 2.39559
-1.01596 2.39538
-1.01596 2.39524
-1.01594 2.39506
-1.01591 2.39489
-1.01588 2.39474
-1.01588 2.39463
-1.01585 2.39448
-1.01582 2.39437
-1.01582 2.39428
-1.01579 2.39416
-1.01579 2.39411
-1.01576 2.39402
-1.01576 2.39396
-1.01573 2.39387
-1.01573 2.39381
-1.0157 2.39373
-1.0157 2.3937
-1.01567 2.39364
-1.01564 2.39355
-1.01562 2.39349
-1.01562 2.39347
-1.01559 2.39341
-1.01556 2.39335
-1.01556 2.39335
-1.01556 2.39332
-1.0155 2.39326
-1.0155 2.39323
-1.01547 2.39317
-1.01547 2.39317
-1.01547 2.39315
-1.01544 2.39312
-1.01544 2.39309
-1.01544 2.39309
-1.01541 2.39303
-1.01541 2.393
-1.01541 2.39297
-1.01541 2.39294
-1.01541 2.39291
-1.01541 2.39288
-1.01541 2.39283
-1.01541 2.39277
-1.01541 2.39271
-1.01541 2.39265
-1.01541 2.39256
-1.01541 2.39248
-1.01541 2.39239
-1.01541 2.39227
-1.01541 2.39216
-1.01541 2.39204
-1.01541 2.39192
-1.01541 2.39178
-1.01541 2.39163
-1.01541 2.39146
-1.01541 2.39129
-1.01541 2.39111
-1.01541 2.39094
-1.01541 2.3907
-1.01541 2.3905
-1.01541 2.39027
-1.01541 2.38998
-1.01541 2.38969
-1.01541 2.38937
-1.01541 2.38905
-1.01541 2.3887
-1.01541 2.38832
-1.01541 2.38791
-1.01541 2.38751
-1.01541 2.38707
-1.01541 2.38663
-1.01541 2.38617
-1.01541 2.38564
-1.01541 2.38512
-1.01541 2.3846
-1.01541 2.38405
-1.01541 2.38346
-1.01541 2.38285
-1.01541 2.38224
-1.01541 2.38157
-1.01541 2.38091
-1.01541 2.38021
-1.01541 2.37948
-1.01541 2.37873
-1.01541 2.37791
-1.01541 2.3771
-1.01541 2.37617
-1.01541 2.37524
-1.01541 2.37425
-1.01541 2.37326
-1.01541 2.37221
-1.01541 2.37119
-1.01541 2.37018
-1.01541 2.36913
