angle_1 angle_2
-0.863907 2.0301
-0.863907 2.0301
-0.863907 2.0301
-0.863907 2.03013
-0.863907 2.03016
-0.863907 2.03021
-0.863907 2.03024
-0.863907 2.0303
-0.863907 2.03036
-0.863907 2.03042
-0.863907 2.03048
-0.863907 2.03053
-0.863907 2.03077
-0.86382 2.03071
-0.863791 2.03074
-0.863733 2.03071
-0.863704 2.03071
-0.863617 2.03062
-0.863588 2.03062
-0.863529 2.03059
-0.8635 2.03062
-0.863442 2.03059
-0.863413 2.03059
-0.863355 2.03056
-0.863268 2.0305
-0.863239 2.0305
-0.86318 2.0305
-0.863122 2.03045
-0.863093 2.03045
-0.863064 2.03045
-0.863006 2.03045
-0.862948 2.03039
-0.862919 2.03039
-0.86289 2.03036
-0.862861 2.03036
-0.862803 2.0303
-0.862773 2.0303
-0.862744 2.03027
-0.862715 2.03024
-0.862657 2.03021
-0.862628 2.03019
-0.862599 2.03016
-0.862599 2.03016
-0.86257 2.03013
-0.862541 2.0301
-0.862512 2.03007
-0.862483 2.03004
-0.862483 2.03004
-0.862454 2.03001
-0.862425 2.02998
-0.862395 2.02998
-0.862395 2.02998
-0.862337 2.02992
-0.862337 2.02992
-0.862308 2.02989
-0.862308 2.02989
-0.862279 2.02987
-0.86225 2.02984
-0.862221 2.02981
-0.862192 2.02978
-0.862163 2.02975
-0.862134 2.02972
-0.862105 2.02969
-0.862076 2.02966
-0.862018 2.0296
-0.861988 2.02957
-0.86193 2.02952
-0.861901 2.02949
-0.861843 2.02943
-0.861814 2.0294
-0.861756 2.02934
-0.861669 2.02925
-0.86161 2.0292
-0.861552 2.02914
-0.861494 2.02908
-0.861407 2.02899
-0.86132 2.02891
-0.861233 2.02885
-0.861145 2.02876
-0.861058 2.0287
-0.860971 2.02862
-0.860884 2.02853
-0.860796 2.02844
-0.860709 2.02838
-0.860622 2.0283
-0.860535 2.02824
-0.860418 2.02818
-0.860331 2.02809
-0.860244 2.02803
-0.860128 2.02795
-0.86004 2.02789
-0.859953 2.0278
-0.859866 2.02774
-0.85975 2.02766
-0.859663 2.0276
-0.859575 2.02751
-0.859488 2.02742
-0.859401 2.02736
-0.859314 2.02728
-0.859197 2.02716
-0.85911 2.02707
-0.859023 2.02699
-0.858936 2.0269
-0.858848 2.02681
-0.858732 2.0267
-0.858645 2.02664
-0.858558 2.02655
-0.85847 2.02646
-0.858383 2.02638
-0.858296 2.02629
-0.858209 2.0262
-0.858093 2.02609
-0.858034 2.02603
-0.857918 2.02591
-0.857831 2.02582
-0.857744 2.02574
-0.857656 2.02565
-0.857569 2.02556
-0.857453 2.02545
-0.857366 2.02536
-0.857278 2.02527
-0.857162 2.02516
-0.857075 2.02507
-0.856988 2.02498
-0.856871 2.02486
-0.856784 2.02478
-0.856668 2.02466
-0.856581 2.02457
-0.856464 2.02446
-0.856348 2.02434
-0.856261 2.02425
-0.856145 2.02414
-0.856028 2.02402
-0.855941 2.02393
-0.855825 2.02382
-0.855708 2.0237
-0.855592 2.02359
-0.855476 2.02347
-0.85533 2.02332
-0.855185 2.02318
-0.855069 2.02306
-0.854894 2.02289
-0.854778 2.02277
-0.854633 2.02263
-0.854487 2.02248
