angle_1 angle_2
-0.827536 1.89871
-0.827478 1.8986
-0.827419 1.89845
-0.827332 1.89831
-0.827245 1.89816
-0.827158 1.89796
-0.82707 1.89778
-0.826983 1.89764
-0.826867 1.8974
-0.82678 1.89723
-0.826663 1.89703
-0.826547 1.89679
-0.826431 1.89656
-0.826285 1.89627
-0.82614 1.89598
-0.825995 1.89572
-0.825849 1.89543
-0.825675 1.89514
-0.82553 1.89485
-0.825355 1.89453
-0.825181 1.89421
-0.824977 1.89386
-0.824774 1.89351
-0.824599 1.89316
-0.824367 1.89278
-0.824163 1.89243
-0.82393 1.89203
-0.823698 1.89165
-0.823436 1.89121
-0.823204 1.89083
-0.822942 1.89043
-0.822709 1.89005
-0.822448 1.88964
-0.822157 1.8892
-0.821866 1.88877
-0.821575 1.8883
-0.821198 1.88781
-0.820878 1.88734
-0.820558 1.88688
-0.820209 1.88644
-0.819889 1.88598
-0.819511 1.88548
-0.819133 1.88499
-0.818755 1.88452
-0.818348 1.88403
-0.817941 1.88354
-0.817563 1.88307
-0.817098 1.88255
-0.816691 1.88208
-0.816255 1.88162
-0.815848 1.88115
-0.815412 1.88072
-0.814947 1.88022
-0.814481 1.87976
-0.814016 1.87929
-0.813522 1.8788
-0.813028 1.8783
-0.812504 1.87778
-0.811952 1.87723
-0.811429 1.8767
-0.810934 1.87621
-0.810411 1.87569
-0.809888 1.87516
-0.809364 1.87464
-0.808841 1.87412
-0.808347 1.87362
-0.807823 1.8731
-0.807271 1.87257
-0.806748 1.87205
-0.806108 1.87144
-0.805585 1.87092
-0.805061 1.87042
-0.804509 1.86987
-0.804015 1.86938
-0.803491 1.86891
-0.802997 1.86842
-0.802503 1.86795
-0.80198 1.86743
-0.801456 1.86691
-0.800933 1.86638
-0.80041 1.86586
-0.799915 1.86536
-0.799392 1.86484
-0.798869 1.86432
-0.798374 1.86382
-0.79788 1.86333
-0.797386 1.86283
-0.796892 1.86234
-0.796397 1.86185
-0.795932 1.86138
-0.795351 1.8608
-0.794885 1.86033
-0.794391 1.85984
-0.793926 1.85937
-0.793461 1.85891
-0.792996 1.85844
-0.79253 1.85798
-0.792065 1.85751
-0.791629 1.85708
-0.791164 1.85661
-0.790699 1.85615
-0.790234 1.85571
-0.789768 1.85525
-0.789361 1.85484
-0.788925 1.85443
-0.788489 1.85403
-0.788082 1.85365
-0.787675 1.85327
-0.787297 1.85292
-0.786919 1.85257
-0.786541 1.85219
-0.786163 1.85184
-0.785785 1.85147
-0.785407 1.85115
-0.785058 1.8508
-0.784739 1.85048
-0.78439 1.85016
-0.78407 1.84984
-0.78375 1.84952
-0.783459 1.84923
-0.783169 1.84894
-0.782878 1.84865
-0.782616 1.84838
-0.782384 1.84815
-0.782122 1.84789
-0.78186 1.84763
-0.781657 1.84743
-0.781453 1.84722
-0.781279 1.84705
-0.781104 1.84687
-0.78093 1.8467
-0.780755 1.84652
-0.78061 1.84638
-0.780465 1.84623
-0.780319 1.84609
-0.780203 1.84597
-0.780087 1.84586
-0.77997 1.84574
-0.779883 1.84565
-0.779796 1.84556
-0.779709 1.84548
-0.779651 1.84542
-0.779563 1.84533
-0.779505 1.84527
-0.779447 1.84522
-0.779389 1.84516
-0.779331 1.8451
-0.779302 1.84507
-0.779273 1.84504
-0.779273 1.84504
-0.779244 1.84501
-0.779215 1.84498
-0.779215 1.84498
-0.779215 1.84498
-0.779215 1.84498
-0.779215 1.84498
-0.779185 1.84495
-0.779185 1.84493
-0.779185 1.84493
-0.779185 1.84493
-0.779185 1.84493
-0.779185 1.8449
-0.779185 1.8449
-0.779185 1.8449
-0.779185 1.84487
-0.779156 1.84484
-0.779156 1.84481
-0.779156 1.84481
-0.779156 1.84478
-0.779156 1.84475
-0.779098 1.84469
-0.779098 1.84463
-0.779098 1.84461
-0.779069 1.84458
-0.77904 1.84452
-0.779011 1.84446
-0.778982 1.84437
-0.778953 1.84431
-0.778924 1.84426
-0.778866 1.84417
-0.778837 1.84411
-0.778778 1.84399
-0.77872 1.84391
-0.778662 1.84382
-0.778604 1.84373
-0.778546 1.84365
-0.778459 1.84347
-0.7784 1.84338
-0.778313 1.84324
-0.778226 1.84309
-0.778139 1.84292
-0.778052 1.84274
-0.777935 1.84257
-0.777819 1.84234
-0.777703 1.8421
-0.777586 1.8419
-0.777441 1.84164
-0.777296 1.84138
-0.77715 1.84112
-0.777005 1.84083
-0.77683 1.84051
-0.776685 1.84022
-0.776511 1.83992
-0.776307 1.83958
-0.776133 1.83923
-0.775929 1.83885
-0.775726 1.8385
-0.775493 1.83806
-0.77529 1.83766
-0.775028 1.83722
-0.774795 1.83676
-0.774534 1.83629
-0.774272 1.83582
-0.773981 1.8353
-0.77369 1.83478
-0.773342 1.83417
-0.773051 1.83364
-0.772731 1.83303
-0.772411 1.83245
-0.772062 1.83184
-0.771743 1.83123
-0.771335 1.83053
-0.770958 1.82981
-0.77055 1.82911
-0.770173 1.82847
-0.769678 1.8276
-0.769213 1.82678
-0.768719 1.82594
-0.768225 1.8251
-0.767701 1.8242
-0.767178 1.82326
-0.766596 1.82228
-0.766044 1.82132
-0.765521 1.82036
-0.764968 1.81943
-0.764416 1.81844
-0.763805 1.81736
-0.763195 1.81635
-0.762584 1.81533
-0.761945 1.81428
-0.761334 1.81335
-0.760723 1.81239
-0.760084 1.81143
-0.759444 1.81047
-0.758805 1.80951
-0.758194 1.80858
-0.757525 1.80756
-0.756857 1.80652
-0.756159 1.80547
-0.755519 1.80448
-0.754821 1.80341
-0.754182 1.80239
-0.753513 1.80134
-0.752844 1.8003
-0.752205 1.79928
-0.751565 1.79829
-0.750867 1.79721
-0.75017 1.79614
-0.749472 1.79515
-0.748803 1.79416
-0.748047 1.79312
-0.747291 1.7921
-0.746477 1.79105
-0.745808 1.79018
-0.74514 1.78936
