torque_1 torque_2
-0.0435724 -0.993363
-0.0551224 -0.982563
-0.0663224 -0.972063
-0.0775224 -0.960691
-0.0890724 -0.952508
-0.100272 -0.937065
-0.111822 -0.925684
-0.123022 -0.911695
-0.134222 -0.897987
-0.145772 -0.878765
-0.156972 -0.865058
-0.168522 -0.844673
-0.178705 -0.831256
-0.180601 -0.814069
-0.176015 -0.79978
-0.18518 -0.78928
-0.209813 -0.772374
-0.215925 -0.764491
-0.214769 -0.755436
-0.210473 -0.74668
-0.222109 -0.740532
-0.243049 -0.732349
-0.239771 -0.719232
-0.25824 -0.708432
-0.260572 -0.697932
-0.274884 -0.688004
-0.287538 -0.67575
-0.292196 -0.666704
-0.307671 -0.65445
-0.322651 -0.645976
-0.312191 -0.641291
-0.324032 -0.625839
-0.335668 -0.617365
-0.341344 -0.60831
-0.363651 -0.592567
-0.379794 -0.588163
-0.376516 -0.573865
-0.399782 -0.561902
-0.399643 -0.557499
-0.404796 -0.542919
-0.419776 -0.532991
-0.434088 -0.524808
-0.432641 -0.514589
-0.439334 -0.50408
-0.449867 -0.498513
-0.47415 -0.483052
-0.484333 -0.473124
-0.494865 -0.463197
-0.506065 -0.456176
-0.49799 -0.441597
-0.524454 -0.431369
-0.53798 -0.420569
-0.528887 -0.411513
-0.558695 -0.400713
-0.557247 -0.390486
-0.580427 -0.379686
-0.590609 -0.369758
-0.601809 -0.358958
-0.600712 -0.34873
-0.623542 -0.33793
-0.633724 -0.328002
-0.625299 -0.317774
-0.654439 -0.307847
-0.664621 -0.297919
-0.674804 -0.287691
-0.660914 -0.277763
-0.6804 -0.267836
-0.693054 -0.25848
-0.709401 -0.248552
-0.724381 -0.239497
-0.714938 -0.231013
-0.743728 -0.221386
-0.741263 -0.21233
-0.736618 -0.204147
-0.742294 -0.195091
-0.74797 -0.186036
-0.766438 -0.17698
-0.790867 -0.168797
-0.782733 -0.160913
-0.795386 -0.151858
-0.793212 -0.144547
-0.802813 -0.138108
-0.808925 -0.131669
-0.813584 -0.123486
-0.824202 -0.116174
-0.818539 -0.108863
-0.831484 -0.101552
-0.838613 -0.0942411
-0.83891 -0.0878022
-0.856797 -0.0836893
-0.84561 -0.0757967
-0.855211 -0.0693578
-0.868156 -0.0620467
-0.869761 -0.0611319
-0.870059 -0.0491689
-0.870646 -0.0436022
-0.873706 -0.03978
-0.874294 -0.0342133
-0.879388 -0.0286467
-0.883465 -0.02308
-0.882745 -0.0204207
-0.900632 -0.00933
-0.902237 -0.00259111
-0.900499 0.00181259
-0.90757 0.00970519
-0.908303 0.0114922
-0.914706 0.022583
-0.908461 0.0266959
-0.923296 0.0325533
-0.922866 0.0398737
-0.924617 0.0463033
-0.926309 0.0527422
-0.925879 0.0635422
-0.935771 0.0708533
-0.933015 0.0767107
-0.935724 0.0857663
-0.935731 0.0945311
-0.935301 0.101833
-0.945338 0.110889
-0.943541 0.120816
-0.9466 0.131616
-0.940646 0.139218
-0.946177 0.150018
-0.938565 0.158492
-0.956888 0.17249
-0.946137 0.183581
-0.946811 0.193509
-0.952196 0.206926
-0.948423 0.215109
-0.949447 0.227653
-0.948086 0.237581
-0.944604 0.250126
-0.943593 0.260344
-0.936708 0.268527
-0.928428 0.283398
-0.929888 0.289255
-0.921549 0.300927
-0.920974 0.309111
-0.915457 0.319039
-0.909734 0.328685
-0.903199 0.342683
-0.892158 0.34854
-0.882365 0.355851
-0.878301 0.364907
-0.87322 0.374835
-0.867788 0.384763
-0.861253 0.398189
-0.853119 0.404046
-0.836639 0.410485
-0.842024 0.421866
-0.833104 0.429177
-0.831511 0.436489
-0.815963 0.4441
-0.806171 0.453155
-0.808358 0.458722
-0.793913 0.465742
-0.786796 0.473353
-0.777354 0.476303
-0.772213 0.482451
-0.771638 0.488018
-0.774202 0.495329
-0.75874 0.497407
-0.759619 0.502383
-0.747209 0.506205
-0.746053 0.507411
-0.743965 0.510361
-0.744494 0.514174
-0.742901 0.512763
-0.739505 0.513096
-0.73262 0.517209
-0.744401 0.518114
-0.746529 0.518448
-0.747494 0.518781
-0.745465 0.518242
-0.746575 0.517703
-0.754227 0.518909
-0.756269 0.521859
-0.763775 0.528289
-0.74715 0.523098
-0.766491 0.526048
-0.765711 0.534522
-0.776416 0.531657
-0.780143 0.538677
-0.785673 0.541337
-0.7894 0.541961
-0.794435 0.546364
-0.795169 0.5435
-0.802239 0.549648
-0.813961 0.55347
-0.815567 0.552059
-0.820311 0.559661
-0.823021 0.557959
-0.840558 0.563526
-0.841146 0.56822
-0.840075 0.573787
-0.841331 0.579353
-0.859885 0.585792
-0.861491 0.591359
-0.857949 0.597798
-0.879993 0.604237
-0.878777 0.610676
-0.884889 0.617114
-0.890651 0.623553
-0.89307 0.62912
-0.905664 0.636431
-0.912794 0.644914
-0.926551 0.652226
-0.926353 0.659537
-0.94011 0.666848
-0.949216 0.674159
-0.947042 0.68147
-0.949315 0.688209
-0.973394 0.696392
-0.976684 0.703703
-0.982446 0.710142
-1.00339 0.718326
-0.98807 0.725637
-0.993832 0.732076
-1.01093 0.739959
-1.0119 0.747851
-1.01417 0.751964
-1.01275 0.757231
-1.03465 0.769194
-1.01831 0.768937
-1.03687 0.774503
-1.03812 0.782677
-1.03807 0.789116
-1.04529 0.787414
-1.05236 0.791809
-1.05478 0.796503
-1.04673 0.800898
-1.05345 0.810244
-1.05136 0.810287
-1.06439 0.817589
-1.06463 0.818503
