angle_1 angle_2
-0.827332 1.89799
-0.827129 1.89778
-0.826838 1.89746
-0.826605 1.89723
-0.826344 1.89694
-0.826111 1.89671
-0.825878 1.89647
-0.825559 1.89612
-0.825326 1.89589
-0.825064 1.89563
-0.824803 1.89534
-0.82457 1.89511
-0.824221 1.89476
-0.823901 1.89441
-0.823582 1.89409
-0.82332 1.8938
-0.823058 1.89354
-0.822768 1.89322
-0.822477 1.8929
-0.822128 1.89252
-0.82175 1.89211
-0.821372 1.89171
-0.820965 1.89127
-0.820616 1.89092
-0.820238 1.89051
-0.819831 1.89008
-0.819424 1.88964
-0.819017 1.88923
-0.81861 1.8888
-0.818203 1.88839
-0.817738 1.8879
-0.81736 1.88752
-0.816924 1.88705
-0.816575 1.8867
-0.816226 1.88636
-0.815848 1.88598
-0.81547 1.8856
-0.815034 1.88516
-0.814598 1.88473
-0.81422 1.88435
-0.813784 1.88391
-0.813377 1.88351
-0.81294 1.88307
-0.812446 1.88258
-0.81201 1.88214
-0.811574 1.8817
-0.811167 1.8813
-0.810731 1.88086
-0.810295 1.88042
-0.809859 1.87999
-0.809452 1.87958
-0.809045 1.87917
-0.808667 1.8788
-0.80826 1.87839
-0.807853 1.87798
-0.807445 1.87758
-0.807068 1.8772
-0.80669 1.87682
-0.806283 1.87641
-0.805905 1.87603
-0.805498 1.87563
-0.805061 1.87519
-0.804683 1.87481
-0.804305 1.87444
-0.803928 1.87406
-0.80355 1.87368
-0.80323 1.87336
-0.80291 1.87304
-0.802532 1.87266
-0.802154 1.87228
-0.801834 1.87196
-0.801514 1.87164
-0.801195 1.87132
-0.800875 1.871
-0.800526 1.87066
-0.800206 1.87034
-0.799915 1.87005
-0.799625 1.86975
-0.799305 1.86943
-0.799014 1.86914
-0.798723 1.86885
-0.798403 1.86853
-0.798142 1.86827
-0.797851 1.86798
-0.797589 1.86772
-0.797328 1.86746
-0.797066 1.8672
-0.796804 1.86693
-0.796543 1.86667
-0.79631 1.86644
-0.79599 1.86612
-0.7957 1.86583
-0.795409 1.86554
-0.795089 1.86522
-0.794856 1.86499
-0.794566 1.8647
-0.794304 1.86443
-0.794071 1.8642
-0.793839 1.86397
-0.793606 1.86374
-0.793345 1.86347
-0.793112 1.86324
-0.792821 1.86295
-0.792501 1.86263
-0.792269 1.8624
-0.791978 1.86211
-0.791745 1.86188
-0.791484 1.86161
-0.791251 1.86138
-0.79099 1.86112
-0.790728 1.86086
-0.790495 1.86063
-0.790234 1.86036
-0.789943 1.86007
-0.78971 1.85984
-0.789449 1.85958
-0.789245 1.85932
-0.789013 1.85908
-0.78878 1.85885
-0.788576 1.85865
-0.788315 1.85839
-0.788111 1.85815
-0.78785 1.85789
-0.787675 1.85769
-0.787443 1.85746
-0.78721 1.85719
-0.787035 1.85699
-0.786861 1.85682
-0.786687 1.85661
-0.786512 1.85644
-0.786309 1.85621
-0.786134 1.856
-0.78596 1.8558
-0.785785 1.8556
-0.78564 1.85539
-0.785495 1.85522
-0.785349 1.85504
-0.785175 1.85481
-0.785058 1.85464
-0.784942 1.85449
-0.784826 1.85432
-0.78471 1.85411
-0.784564 1.85391
-0.784448 1.85373
-0.784332 1.85353
-0.784215 1.85336
-0.784128 1.85318
-0.784012 1.85298
-0.783925 1.8528
-0.783808 1.85257
-0.78375 1.8524
-0.783634 1.85219
-0.783576 1.85202
-0.783459 1.85179
-0.783372 1.85158
-0.783285 1.85138
-0.783227 1.85121
-0.78314 1.851
-0.783081 1.85083
-0.782994 1.85062
-0.782936 1.85048
-0.782849 1.85025
-0.782762 1.85004
-0.782674 1.84981
-0.782587 1.84961
-0.7825 1.84937
-0.782442 1.84917
-0.782325 1.84891
-0.782267 1.84868
-0.782151 1.84841
-0.782064 1.84815
-0.781977 1.84789
-0.78186 1.8476
-0.781773 1.84734
-0.781657 1.84702
-0.78154 1.84676
-0.781424 1.84647
-0.781337 1.8462
-0.781192 1.84588
-0.781104 1.84562
-0.780959 1.8453
-0.780843 1.84501
-0.780697 1.84472
-0.780552 1.8444
-0.780407 1.84408
-0.78029 1.84379
-0.780116 1.84344
-0.77997 1.84309
-0.779825 1.84277
-0.779651 1.8424
-0.779476 1.84205
-0.779302 1.84164
-0.779127 1.84129
-0.778924 1.84091
-0.778749 1.84053
-0.778517 1.8401
-0.778342 1.83975
-0.77811 1.83931
-0.777906 1.83891
-0.777674 1.83847
-0.777441 1.83803
-0.777208 1.8376
-0.776947 1.8371
-0.776685 1.83664
-0.776423 1.83617
-0.776133 1.83568
-0.775813 1.83516
-0.775522 1.83466
-0.775202 1.83414
-0.774912 1.83364
-0.774592 1.83315
-0.774272 1.83263
-0.773894 1.83207
-0.773545 1.83155
-0.773196 1.831
-0.772847 1.83045
-0.77244 1.82984
-0.772091 1.82931
-0.771684 1.82867
-0.771277 1.82806
-0.77087 1.82742
-0.770463 1.82678
-0.769998 1.82609
-0.769562 1.82539
-0.769097 1.82469
-0.768632 1.82399
-0.768108 1.82321
-0.767585 1.82242
-0.767062 1.82167
-0.766567 1.82097
-0.766015 1.82018
-0.765463 1.81943
-0.76491 1.81864
-0.764329 1.81789
-0.763776 1.81713
-0.763195 1.81637
-0.762642 1.81568
-0.762032 1.81489
-0.761421 1.81414
-0.760782 1.81335
-0.760142 1.81257
-0.759502 1.81178
-0.758863 1.811
-0.758223 1.81024
-0.757613 1.80948
-0.756973 1.80873
-0.756333 1.80794
-0.755694 1.80722
-0.755025 1.80643
-0.754385 1.80568
-0.7536 1.80477
-0.752844 1.80393
-0.752205 1.80323
-0.751536 1.80251
-0.750838 1.80175
-0.75014 1.80105
-0.749181 1.80006
-0.748018 1.7989
-0.746971 1.79785
-0.746012 1.79689
-0.745227 1.79614
-0.7445 1.79541
-0.743802 1.79474
-0.743075 1.79405
-0.742349 1.79335
-0.741535 1.79256
-0.740837 1.79189
-0.740139 1.79125
-0.739441 1.79064
-0.738831 1.79009
-0.738191 1.78954
-0.737551 1.78899
-0.736854 1.78841
-0.736185 1.78782
-0.735633 1.78739
-0.734964 1.78686
-0.734033 1.78611
-0.733248 1.78547
-0.732609 1.78495
-0.73194 1.78439
-0.731446 1.78401
-0.730835 1.78352
-0.730428 1.78323
-0.730021 1.78291
-0.729498 1.7825
-0.72912 1.78221
-0.728742 1.78192
-0.728393 1.78169
-0.727957 1.78134
-0.727608 1.78111
-0.727259 1.78085
-0.72691 1.78058
-0.72659 1.78038
-0.726329 1.78021
-0.726125 1.78009
-0.725864 1.77994
-0.725631 1.7798
-0.725486 1.77974
-0.725311 1.77965
-0.725195 1.77965
-0.725108 1.77965
-0.724991 1.77962
-0.724933 1.77962
-0.724904 1.77965
-0.724846 1.77962
-0.724846 1.77962
-0.724846 1.77962
-0.724846 1.77962
-0.724846 1.77962
-0.724846 1.77962
-0.724846 1.77962
-0.724846 1.7796
-0.724846 1.77957
-0.724846 1.77954
-0.724846 1.77954
-0.724846 1.77951
-0.724846 1.77948
-0.724846 1.77948
-0.724846 1.77945
-0.724846 1.77945
-0.724846 1.77942
-0.724846 1.77942
-0.724846 1.77942
-0.724846 1.77939
-0.724846 1.77936
-0.724846 1.77936
-0.724846 1.77936
-0.724846 1.77933
-0.724846 1.77933
-0.724846 1.77933
-0.724846 1.7793
-0.724846 1.7793
-0.724846 1.77928
-0.724846 1.77928
-0.724846 1.77925
-0.724846 1.77925
-0.724846 1.77925
-0.724846 1.77922
-0.724846 1.77922
-0.724846 1.77922
-0.724846 1.77922
-0.724846 1.77922
-0.724846 1.77919
-0.724846 1.77919
-0.724846 1.77916
-0.724846 1.77913
-0.724846 1.7791
-0.724817 1.77901
-0.724817 1.77896
-0.724817 1.77893
-0.724788 1.77881
