angle_1 angle_2
-0.986338 2.24757
-0.986338 2.24757
-0.986338 2.24757
-0.986338 2.24757
-0.986338 2.2476
-0.986338 2.24763
-0.986309 2.24766
-0.986309 2.24769
-0.98628 2.24772
-0.986251 2.24778
-0.986222 2.24783
-0.986193 2.24789
-0.986135 2.24789
-0.986048 2.24789
-0.98596 2.24789
-0.985902 2.24789
-0.985815 2.24789
-0.985699 2.24786
-0.985611 2.24783
-0.985495 2.2478
-0.985379 2.24778
-0.985292 2.2478
-0.985175 2.24778
-0.985001 2.24775
-0.984826 2.24772
-0.984594 2.24772
-0.98439 2.24772
-0.984158 2.24769
-0.983983 2.24772
-0.98378 2.24769
-0.983634 2.24775
-0.983431 2.24775
-0.983256 2.24778
-0.983053 2.2478
-0.982849 2.24778
-0.982646 2.2478
-0.982413 2.24778
-0.98221 2.2478
-0.981948 2.24775
-0.981745 2.24778
-0.981512 2.24775
-0.981279 2.24775
-0.98093 2.24775
-0.980582 2.24772
-0.980175 2.24772
-0.979768 2.24763
-0.97936 2.24766
-0.978895 2.24769
-0.978401 2.24769
-0.977878 2.24769
-0.977383 2.24766
-0.976889 2.24775
-0.976279 2.24772
-0.975901 2.24772
-0.975465 2.24772
-0.975028 2.24766
-0.974621 2.24763
-0.974214 2.24757
-0.973807 2.24754
-0.973371 2.24754
-0.972906 2.24746
-0.97247 2.24743
-0.972034 2.2474
-0.971598 2.24737
-0.971133 2.24734
-0.970725 2.24737
-0.970289 2.24737
-0.969853 2.24734
-0.969475 2.24743
-0.969068 2.24743
-0.96869 2.24746
-0.968341 2.24748
-0.967963 2.24748
-0.967585 2.24748
-0.967237 2.24746
-0.966859 2.24743
-0.966539 2.2474
-0.966161 2.24734
-0.965841 2.24728
-0.965521 2.24716
-0.965201 2.24705
-0.964911 2.24693
-0.964649 2.24682
-0.964416 2.24667
-0.964184 2.24653
-0.96398 2.24638
-0.963806 2.24621
-0.963631 2.24606
-0.963457 2.24589
-0.963341 2.24577
-0.963224 2.24565
-0.963137 2.24557
-0.963021 2.24545
-0.962963 2.24539
-0.962934 2.24536
-0.962934 2.24536
-0.962934 2.24536
-0.962934 2.24536
-0.962934 2.24536
-0.962934 2.24536
-0.962934 2.24536
-0.962934 2.24536
-0.962963 2.24539
-0.962992 2.24539
-0.96305 2.24545
-0.963108 2.24551
-0.963166 2.24557
-0.963253 2.24562
-0.963341 2.24571
-0.96337 2.24574
-0.963428 2.24577
-0.963457 2.2458
-0.963515 2.24586
-0.963544 2.24589
-0.963602 2.24591
-0.963631 2.24594
-0.96366 2.24597
-0.96369 2.246
-0.96369 2.246
-0.963719 2.24603
-0.963719 2.24603
-0.963719 2.24603
-0.963719 2.24603
-0.963719 2.24603
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.246
-0.963719 2.24597
-0.963719 2.24597
-0.963719 2.24597
-0.963719 2.24594
-0.963719 2.24594
-0.963719 2.24594
-0.963719 2.24594
-0.963719 2.24594
-0.963719 2.24594
-0.963719 2.24594
-0.963719 2.24591
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24589
-0.963719 2.24586
-0.963719 2.24586
-0.963719 2.24586
-0.963719 2.24586
-0.963719 2.24586
-0.963719 2.24586
-0.963719 2.24586
-0.963719 2.24583
-0.963719 2.24583
-0.963719 2.24583
-0.963719 2.2458
-0.963719 2.2458
-0.963719 2.24577
-0.963719 2.24574
-0.963719 2.24574
-0.963719 2.24571
-0.963719 2.24568
-0.963719 2.24568
-0.963719 2.24565
-0.963719 2.24562
-0.963719 2.24557
-0.963719 2.24554
-0.963719 2.24554
-0.963719 2.24551
-0.963719 2.24548
-0.963719 2.24545
-0.963719 2.24542
-0.963719 2.24539
-0.963719 2.24536
-0.963719 2.24533
-0.963719 2.2453
-0.963719 2.24525
-0.963719 2.24525
-0.963719 2.24522
-0.963719 2.24522
-0.963719 2.24522
-0.963719 2.24519
-0.963719 2.24519
-0.963719 2.24519
-0.963719 2.24516
-0.963719 2.24513
-0.963719 2.24513
-0.963719 2.2451
-0.963719 2.24507
-0.963719 2.24504
-0.963719 2.24501
-0.963719 2.24498
-0.963719 2.24493
-0.963719 2.2449
-0.963719 2.24487
-0.963719 2.24481
-0.963719 2.24478
-0.963719 2.24472
-0.963719 2.24466
-0.963719 2.24458
-0.963719 2.24452
-0.963719 2.2444
-0.963719 2.24434
-0.963719 2.2442
-0.963719 2.24408
-0.963719 2.24397
-0.963719 2.24388
-0.963719 2.24379
-0.963719 2.24371
-0.963719 2.24362
-0.963719 2.24353
-0.963748 2.24344
-0.963748 2.24333
-0.963748 2.24324
-0.963777 2.24318
-0.963777 2.24312
-0.963806 2.24304
-0.963806 2.24295
-0.963806 2.24286
-0.963835 2.24283
-0.963835 2.24275
-0.963864 2.24269
-0.963864 2.24263
-0.963893 2.24257
-0.963922 2.24254
-0.963922 2.24248
-0.963951 2.24245
-0.96398 2.24243
-0.96398 2.24237
-0.964009 2.24231
-0.964038 2.24228
-0.964068 2.24225
-0.964097 2.24222
-0.964126 2.24219
-0.964155 2.24216
-0.964155 2.24211
-0.964184 2.24211
-0.964242 2.24211
-0.964242 2.24205
-0.964271 2.24205
